method,T,stage_id,row_type,count,bootstrap_latency_ms,new_visit_latency_ms,association_overhead_ms,memory_update_overhead_ms,full_history_latency_ms,gpu_peak_memory_bytes,persistent_state_bytes
B4,2,0,bootstrap,129,1125.0468492790696,,,,,1785188864,61008
B4,3,0,bootstrap,129,1125.0468492790696,,,,,1785188864,61008
B4,4,0,bootstrap,129,1125.0468492790696,,,,,1785188864,61008
B4,5,0,bootstrap,129,1125.0468492790696,,,,,1785188864,61008
B4,2,1,new_visit,129,,604.5394794573641,1.8402075968992258,1.141903286821705,,2738914816,61008
B4,3,2,new_visit,129,,562.1802871317828,1.7912991705426355,0.9924912170542637,,2738914816,61008
B4,4,3,new_visit,129,,583.6003903953488,1.881340147286823,0.9984542093023258,,2738914816,61008
B4,5,4,new_visit,129,,585.2340114418603,1.8338308992248062,0.9415662093023256,,2738914816,61008
full_history_rescene,2,1,full_history,129,,,,,990.6007763798448,2738914816,
full_history_rescene,3,2,full_history,129,,,,,1925.207838193798,3575318528,
full_history_rescene,4,3,full_history,129,,,,,876.2523925658919,4374867968,
full_history_rescene,5,4,full_history,129,,,,,1055.3652033333337,5004915200,
