method,T,category,count,share
B0,2,F1,1111,0.3969274740978921
B0,2,F2,0,0.0
B0,2,F3,0,0.0
B0,2,F4,0,0.0
B0,2,F5,0,0.0
B0,2,F6,376,0.13433369060378705
B0,2,F7,1312,0.46873883529832083
B0,2,unclassified,0,0.0
B0,3,F1,1604,0.35083114610673666
B0,3,F2,0,0.0
B0,3,F3,0,0.0
B0,3,F4,0,0.0
B0,3,F5,0,0.0
B0,3,F6,602,0.13167104111986003
B0,3,F7,2366,0.5174978127734033
B0,3,unclassified,0,0.0
B0,4,F1,2154,0.3284537968892955
B0,4,F2,0,0.0
B0,4,F3,0,0.0
B0,4,F4,0,0.0
B0,4,F5,0,0.0
B0,4,F6,813,0.12397072278133578
B0,4,F7,3591,0.5475754803293688
B0,4,unclassified,0,0.0
B0,5,F1,2686,0.31485171726644007
B0,5,F2,0,0.0
B0,5,F3,0,0.0
B0,5,F4,0,0.0
B0,5,F5,0,0.0
B0,5,F6,1012,0.11862618684796625
B0,5,F7,4833,0.5665220958855938
B0,5,unclassified,0,0.0
B0_sanity,2,F1,1111,0.3946714031971581
B0_sanity,2,F2,0,0.0
B0_sanity,2,F3,0,0.0
B0_sanity,2,F4,16,0.005683836589698046
B0_sanity,2,F5,0,0.0
B0_sanity,2,F6,376,0.13357015985790407
B0_sanity,2,F7,1312,0.4660746003552398
B0_sanity,2,unclassified,0,0.0
B0_sanity,3,F1,1604,0.3480147537426774
B0_sanity,3,F2,0,0.0
B0_sanity,3,F3,0,0.0
B0_sanity,3,F4,37,0.008027771750922109
B0_sanity,3,F5,0,0.0
B0_sanity,3,F6,602,0.1306140160555435
B0_sanity,3,F7,2366,0.513343458450857
B0_sanity,3,unclassified,0,0.0
B0_sanity,4,F1,2154,0.32518115942028986
B0_sanity,4,F2,0,0.0
B0_sanity,4,F3,0,0.0
B0_sanity,4,F4,66,0.009963768115942028
B0_sanity,4,F5,0,0.0
B0_sanity,4,F6,813,0.12273550724637682
B0_sanity,4,F7,3591,0.5421195652173914
B0_sanity,4,unclassified,0,0.0
B0_sanity,5,F1,2686,0.3117455896007428
B0_sanity,5,F2,0,0.0
B0_sanity,5,F3,0,0.0
B0_sanity,5,F4,85,0.009865366759517177
B0_sanity,5,F5,0,0.0
B0_sanity,5,F6,1012,0.11745589600742803
B0_sanity,5,F7,4833,0.560933147632312
B0_sanity,5,unclassified,0,0.0
B1,2,F1,1111,0.452914798206278
B1,2,F2,278,0.11333061557276804
B1,2,F3,22,0.008968609865470852
B1,2,F4,72,0.029351814105177332
B1,2,F5,0,0.0
B1,2,F6,376,0.15328169588259274
B1,2,F7,594,0.242152466367713
B1,2,unclassified,0,0.0
B1,3,F1,1604,0.4222163727296657
B1,3,F2,562,0.14793366675440905
B1,3,F3,55,0.014477494077388787
B1,3,F4,131,0.034482758620689655
B1,3,F5,26,0.006843906291129244
B1,3,F6,602,0.15846275335614635
B1,3,F7,819,0.2155830481705712
B1,3,unclassified,0,0.0
B1,4,F1,2154,0.4034463382655928
B1,4,F2,830,0.15545982393706687
B1,4,F3,105,0.019666604233002434
B1,4,F4,187,0.03502528563401386
B1,4,F5,77,0.01442217643753512
B1,4,F6,813,0.15227570706124743
B1,4,F7,1173,0.21970406443154147
B1,4,unclassified,0,0.0
B1,5,F1,2686,0.3920595533498759
B1,5,F2,1123,0.1639176762516421
B1,5,F3,169,0.024667931688804556
B1,5,F4,251,0.03663698730112392
B1,5,F5,134,0.019559188439643847
B1,5,F6,1012,0.147715661947161
B1,5,F7,1476,0.21544300102174865
B1,5,unclassified,0,0.0
B2,2,F1,1111,0.45199349064279903
B2,2,F2,281,0.11432058584214809
B2,2,F3,16,0.006509357200976403
B2,2,F4,84,0.03417412530512612
B2,2,F5,0,0.0
B2,2,F6,376,0.1529698942229455
B2,2,F7,590,0.24003254678600489
B2,2,unclassified,0,0.0
B2,3,F1,1604,0.4217722850381278
B2,3,F2,564,0.14830397054956612
B2,3,F3,52,0.013673415724428083
B2,3,F4,147,0.03865369445174862
B2,3,F5,28,0.007362608466999737
B2,3,F6,602,0.15829608204049433
B2,3,F7,806,0.21193794372863528
B2,3,unclassified,0,0.0
B2,4,F1,2154,0.4030688622754491
B2,4,F2,833,0.15587574850299402
B2,4,F3,102,0.01908682634730539
B2,4,F4,208,0.038922155688622756
B2,4,F5,82,0.015344311377245509
B2,4,F6,813,0.15213323353293412
B2,4,F7,1152,0.2155688622754491
B2,4,unclassified,0,0.0
B2,5,F1,2686,0.3920595533498759
B2,5,F2,1127,0.16450153262297476
B2,5,F3,167,0.02437600350313823
B2,5,F4,272,0.03970223325062035
B2,5,F5,148,0.02160268573930813
B2,5,F6,1012,0.147715661947161
B2,5,F7,1439,0.21004232958692162
B2,5,unclassified,0,0.0
B3,2,F1,1111,0.45199349064279903
B3,2,F2,281,0.11432058584214809
B3,2,F3,16,0.006509357200976403
B3,2,F4,84,0.03417412530512612
B3,2,F5,0,0.0
B3,2,F6,376,0.1529698942229455
B3,2,F7,590,0.24003254678600489
B3,2,unclassified,0,0.0
B3,3,F1,1604,0.4217722850381278
B3,3,F2,564,0.14830397054956612
