method,T,category,count,share
B0,3,F1,1604,0.35083114610673666
B0,3,F2,0,0.0
B0,3,F3,0,0.0
B0,3,F4,0,0.0
B0,3,F5,0,0.0
B0,3,F6,602,0.13167104111986003
B0,3,F7,2366,0.5174978127734033
B0,3,unclassified,0,0.0
B0_sanity,3,F1,1604,0.3480147537426774
B0_sanity,3,F2,0,0.0
B0_sanity,3,F3,0,0.0
B0_sanity,3,F4,37,0.008027771750922109
B0_sanity,3,F5,0,0.0
B0_sanity,3,F6,602,0.1306140160555435
B0_sanity,3,F7,2366,0.513343458450857
B0_sanity,3,unclassified,0,0.0
B1,3,F1,1604,0.4222163727296657
B1,3,F2,562,0.14793366675440905
B1,3,F3,55,0.014477494077388787
B1,3,F4,131,0.034482758620689655
B1,3,F5,26,0.006843906291129244
B1,3,F6,602,0.15846275335614635
B1,3,F7,819,0.2155830481705712
B1,3,unclassified,0,0.0
B2,3,F1,1604,0.4217722850381278
B2,3,F2,564,0.14830397054956612
B2,3,F3,52,0.013673415724428083
B2,3,F4,147,0.03865369445174862
B2,3,F5,28,0.007362608466999737
B2,3,F6,602,0.15829608204049433
B2,3,F7,806,0.21193794372863528
B2,3,unclassified,0,0.0
B3,3,F1,1604,0.4217722850381278
B3,3,F2,564,0.14830397054956612
B3,3,F3,56,0.014725216933999474
B3,3,F4,149,0.039179595056534317
B3,3,F5,32,0.008414409676571128
B3,3,F6,602,0.15829608204049433
B3,3,F7,796,0.2093084407047068
B3,3,unclassified,0,0.0
B4,3,F1,1604,0.4288770053475936
B4,3,F2,594,0.1588235294117647
B4,3,F3,48,0.012834224598930482
B4,3,F4,153,0.04090909090909091
B4,3,F5,33,0.008823529411764706
B4,3,F6,602,0.16096256684491977
B4,3,F7,706,0.18877005347593584
B4,3,unclassified,0,0.0
