method,T,AP,AP50,AP25,REC
B0,2,0.30026498436927795,0.47953224182128906,0.6684779524803162,0.40963980555534363
B0,3,0.29839739203453064,0.49490395188331604,0.6806535720825195,0.4144996106624603
B0,4,0.2925824522972107,0.4896344840526581,0.6851390600204468,0.40393882989883423
B0,5,0.30607080459594727,0.4965420961380005,0.6979323029518127,0.4178733825683594
B0_sanity,2,0.30026498436927795,0.47953224182128906,0.6684779524803162,0.40963980555534363
B0_sanity,3,0.29839739203453064,0.49490395188331604,0.6806535720825195,0.4144996106624603
B0_sanity,4,0.2925824522972107,0.4896344840526581,0.6851390600204468,0.40393882989883423
B0_sanity,5,0.30607080459594727,0.4965420961380005,0.6979323029518127,0.4178733825683594
B1,2,0.30026498436927795,0.47953224182128906,0.6684779524803162,0.40963980555534363
B1,3,0.29839739203453064,0.49490395188331604,0.6806535720825195,0.4144996106624603
B1,4,0.2925824522972107,0.4896344840526581,0.6851390600204468,0.40393882989883423
B1,5,0.30607080459594727,0.4965420961380005,0.6979323029518127,0.4178733825683594
B2,2,0.30026498436927795,0.47953224182128906,0.6684779524803162,0.40963980555534363
B2,3,0.29839739203453064,0.49490395188331604,0.6806535720825195,0.4144996106624603
B2,4,0.2925824522972107,0.4896344840526581,0.6851390600204468,0.40393882989883423
B2,5,0.30607080459594727,0.4965420961380005,0.6979323029518127,0.4178733825683594
B3,2,0.30026498436927795,0.47953224182128906,0.6684779524803162,0.40963980555534363
B3,3,0.29839739203453064,0.49490395188331604,0.6806535720825195,0.4144996106624603
B3,4,0.2925824522972107,0.4896344840526581,0.6851390600204468,0.40393882989883423
B3,5,0.30607080459594727,0.4965420961380005,0.6979323029518127,0.4178733825683594
B4,2,0.30026498436927795,0.47953224182128906,0.6684779524803162,0.40963980555534363
B4,3,0.29839739203453064,0.49490395188331604,0.6806535720825195,0.4144996106624603
B4,4,0.2925824522972107,0.4896344840526581,0.6851390600204468,0.40393882989883423
B4,5,0.30607080459594727,0.4965420961380005,0.6979323029518127,0.4178733825683594
