method,T,gap_opportunities,reactivation_attempts,correct_reactivations,wrong_reactivations,no_attempts,reactivation_accuracy,reactivation_precision,reactivation_recall,reactivation_coverage
B1,3,205,58,32,26,147,0.5517241379310345,0.5517241379310345,0.15609756097560976,0.28292682926829266
B1,4,592,142,65,77,450,0.45774647887323944,0.45774647887323944,0.1097972972972973,0.23986486486486486
B1,5,1017,239,105,134,778,0.4393305439330544,0.4393305439330544,0.10324483775811209,0.23500491642084562
B2,3,205,63,35,28,142,0.5555555555555556,0.5555555555555556,0.17073170731707318,0.3073170731707317
B2,4,592,151,69,82,441,0.45695364238410596,0.45695364238410596,0.11655405405405406,0.25506756756756754
B2,5,1017,259,111,148,758,0.42857142857142855,0.42857142857142855,0.10914454277286136,0.25467059980334317
B3,3,205,74,42,32,131,0.5675675675675675,0.5675675675675675,0.2048780487804878,0.36097560975609755
B3,4,592,175,87,88,417,0.49714285714285716,0.49714285714285716,0.14695945945945946,0.2956081081081081
B3,5,1017,287,128,159,730,0.445993031358885,0.445993031358885,0.12586037364798427,0.28220255653883974
B4,3,205,131,98,33,74,0.7480916030534351,0.7480916030534351,0.47804878048780486,0.6390243902439025
B4,4,592,346,247,99,246,0.7138728323699421,0.7138728323699421,0.4172297297297297,0.5844594594594594
B4,5,1017,604,435,169,413,0.7201986754966887,0.7201986754966887,0.4277286135693215,0.5939036381514258
