method,T,outcome,bin_low,bin_high,count,fraction
B1,3,correct,0.0,0.05,2,0.0625
B1,3,correct,0.05,0.1,2,0.0625
B1,3,correct,0.1,0.2,6,0.1875
B1,3,correct,0.2,0.4,14,0.4375
B1,3,correct,0.4,0.8,8,0.25
B1,3,correct,0.8,1.2,0,0.0
B1,3,correct,1.2,2.25,0,0.0
B1,3,wrong,0.0,0.05,4,0.15384615384615385
B1,3,wrong,0.05,0.1,1,0.038461538461538464
B1,3,wrong,0.1,0.2,10,0.38461538461538464
B1,3,wrong,0.2,0.4,3,0.11538461538461539
B1,3,wrong,0.4,0.8,8,0.3076923076923077
B1,3,wrong,0.8,1.2,0,0.0
B1,3,wrong,1.2,2.25,0,0.0
B1,4,correct,0.0,0.05,2,0.03076923076923077
B1,4,correct,0.05,0.1,5,0.07692307692307693
B1,4,correct,0.1,0.2,13,0.2
B1,4,correct,0.2,0.4,26,0.4
B1,4,correct,0.4,0.8,19,0.2923076923076923
B1,4,correct,0.8,1.2,0,0.0
B1,4,correct,1.2,2.25,0,0.0
B1,4,wrong,0.0,0.05,11,0.14285714285714285
B1,4,wrong,0.05,0.1,9,0.11688311688311688
B1,4,wrong,0.1,0.2,24,0.3116883116883117
B1,4,wrong,0.2,0.4,15,0.19480519480519481
B1,4,wrong,0.4,0.8,18,0.23376623376623376
B1,4,wrong,0.8,1.2,0,0.0
B1,4,wrong,1.2,2.25,0,0.0
B1,5,correct,0.0,0.05,2,0.01904761904761905
B1,5,correct,0.05,0.1,8,0.0761904761904762
B1,5,correct,0.1,0.2,19,0.18095238095238095
B1,5,correct,0.2,0.4,45,0.42857142857142855
B1,5,correct,0.4,0.8,31,0.29523809523809524
B1,5,correct,0.8,1.2,0,0.0
B1,5,correct,1.2,2.25,0,0.0
B1,5,wrong,0.0,0.05,25,0.1865671641791045
B1,5,wrong,0.05,0.1,13,0.09701492537313433
B1,5,wrong,0.1,0.2,36,0.26865671641791045
B1,5,wrong,0.2,0.4,29,0.21641791044776118
B1,5,wrong,0.4,0.8,31,0.23134328358208955
B1,5,wrong,0.8,1.2,0,0.0
B1,5,wrong,1.2,2.25,0,0.0
B2,3,correct,0.0,0.05,1,0.02857142857142857
B2,3,correct,0.05,0.1,4,0.11428571428571428
B2,3,correct,0.1,0.2,6,0.17142857142857143
B2,3,correct,0.2,0.4,15,0.42857142857142855
B2,3,correct,0.4,0.8,4,0.11428571428571428
B2,3,correct,0.8,1.2,5,0.14285714285714285
B2,3,correct,1.2,2.25,0,0.0
B2,3,wrong,0.0,0.05,4,0.14285714285714285
B2,3,wrong,0.05,0.1,1,0.03571428571428571
B2,3,wrong,0.1,0.2,9,0.32142857142857145
B2,3,wrong,0.2,0.4,4,0.14285714285714285
B2,3,wrong,0.4,0.8,9,0.32142857142857145
B2,3,wrong,0.8,1.2,1,0.03571428571428571
B2,3,wrong,1.2,2.25,0,0.0
B2,4,correct,0.0,0.05,1,0.014492753623188406
B2,4,correct,0.05,0.1,6,0.08695652173913043
B2,4,correct,0.1,0.2,12,0.17391304347826086
