method,T,t_mAP,t_mAP50,t_mAP25,t_REC,t_REC50,t_REC25
B0,2,0.0381195992231369,0.057963524013757706,0.1709304302930832,0.1643470674753189,0.21310366690158844,0.3315872848033905
B0,3,0.014237156137824059,0.020550750195980072,0.11944541335105896,0.09959964454174042,0.12646783888339996,0.23190665245056152
B0,4,0.005036705639213324,0.00701194116845727,0.09970774501562119,0.053949739784002304,0.06919810175895691,0.1678323596715927
B0,5,0.0026664268225431442,0.0034475510474294424,0.09481009840965271,0.036176957190036774,0.04611172899603844,0.14137348532676697
B0_sanity,2,0.03513103723526001,0.05425817146897316,0.15911923348903656,0.15547102689743042,0.20265574753284454,0.31406423449516296
B0_sanity,3,0.011820945888757706,0.017043612897396088,0.09826380759477615,0.08606712520122528,0.10916834324598312,0.19586816430091858
B0_sanity,4,0.004165734630078077,0.005508676636964083,0.05677211657166481,0.04014093801379204,0.05127212032675743,0.10821528732776642
B0_sanity,5,0.0029118109960108995,0.003575764363631606,0.04982014000415802,0.02648075670003891,0.0338045097887516,0.08791328221559525
B1,2,0.15786945819854736,0.27435997128486633,0.4603705406188965,0.26990342140197754,0.37855586409568787,0.5356832146644592
B1,3,0.08017117530107498,0.1531999409198761,0.2992148697376251,0.1908210813999176,0.28779056668281555,0.43201521039009094
B1,4,0.03926505520939827,0.07485499978065491,0.1996416598558426,0.1287640631198883,0.20417813956737518,0.3399914503097534
B1,5,0.015628747642040253,0.033405765891075134,0.12961333990097046,0.07974451035261154,0.13866876065731049,0.25098490715026855
B2,2,0.15683315694332123,0.2727827727794647,0.45864060521125793,0.2677476704120636,0.37587153911590576,0.5336131453514099
B2,3,0.07954607158899307,0.15212483704090118,0.2994735538959503,0.18829555809497833,0.28511226177215576,0.42952871322631836
B2,4,0.03898722678422928,0.07537731528282166,0.20147977769374847,0.12813803553581238,0.2055080085992813,0.3414420783519745
B2,5,0.016111688688397408,0.035857781767845154,0.13301411271095276,0.08052019029855728,0.1427399218082428,0.25511854887008667
B3,2,0.15683315694332123,0.2727827727794647,0.45864060521125793,0.2677476704120636,0.37587153911590576,0.5336131453514099
B3,3,0.08059833198785782,0.15272019803524017,0.29912087321281433,0.18892471492290497,0.28495609760284424,0.4269120395183563
B3,4,0.03896726295351982,0.07467003166675568,0.20121246576309204,0.12621940672397614,0.20212866365909576,0.3377194106578827
B3,5,0.01660783216357231,0.03615764155983925,0.1341174691915512,0.07940219342708588,0.1405547708272934,0.2526799440383911
B4,2,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882
B4,3,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854
B4,4,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866
B4,5,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233
