method,reference_scene_id,master_sequence_id,order_id,T,prediction_digest,t_mAP,t_REC,identity_switches,transition_opportunities,identity_switch_rate,wrong_reactivations,predicted_reactivation_events,wrong_reactivation_rate,correct_reactivations,reactivation_attempts,gap_opportunities,reactivation_accuracy,reactivation_recall,false_births,births,rejected_births,false_birth_rate
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T2,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.10717593133449554,0.11079812049865723,0,3,0.0,0,0,,0,0,0,,,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T3,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.0694444477558136,0.07042253762483597,0,5,0.0,0,2,0.0,2,2,2,1.0,1.0,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T4,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.0694444477558136,0.0694444477558136,0,13,0.0,4,10,0.4,6,10,10,0.6,0.6,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,T5,d8d6cecbe2c8f071dd79c1ae3c38d64375c675dc34d63d3aafc3b575328521cd,0.0694444477558136,0.0694444477558136,1,16,0.0625,4,12,0.3333333333333333,8,12,12,0.6666666666666666,0.6666666666666666,8,19,0,0.42105263157894735
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T2,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.37546294927597046,0.3777777850627899,2,2,1.0,0,0,,0,0,0,,,5,16,0,0.3125
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T3,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.37546294927597046,0.3777777850627899,2,4,0.5,1,2,0.5,1,2,3,0.5,0.3333333333333333,5,16,0,0.3125
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T4,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.0381944440305233,0.0486111119389534,3,8,0.375,4,6,0.6666666666666666,2,6,9,0.3333333333333333,0.2222222222222222,6,18,0,0.3333333333333333
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,reverse,T5,bce0d897f3894d3d5965f8038887e5617b4c3598bf0983e8dedc1ba18271ca7b,0.0,0.0,5,19,0.2631578947368421,9,13,0.6923076923076923,4,13,21,0.3076923076923077,0.19047619047619047,7,19,0,0.3684210526315789
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02777777798473835,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,8,19,0,0.42105263157894735
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02777777798473835,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,9,20,0,0.45
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T2,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.2777777910232544,0.2777777910232544,0,0,,0,0,,0,0,0,,,4,12,0,0.3333333333333333
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T3,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.2777777910232544,0.2777777910232544,2,3,0.6666666666666666,0,1,0.0,1,1,3,1.0,0.3333333333333333,8,16,0,0.5
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T4,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.2430555522441864,0.2430555522441864,4,14,0.2857142857142857,0,8,0.0,8,8,12,1.0,0.6666666666666666,8,17,0,0.47058823529411764
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,canonical,T5,aa045e7d996427ecc5d4bad400698ceea79dcc5460acdb6b4eecfadcfca29163,0.04398148134350777,0.05092592537403107,4,17,0.23529411764705882,0,8,0.0,8,8,13,1.0,0.6153846153846154,9,18,0,0.5
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T2,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.14629630744457245,0.1906103491783142,0,5,0.0,0,0,,0,0,0,,,5,18,0,0.2777777777777778
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T3,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.12337962538003922,0.14835681021213531,0,9,0.0,0,0,,0,0,0,,,5,18,0,0.2777777777777778
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T4,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.044675927609205246,0.06759259104728699,1,18,0.05555555555555555,1,7,0.14285714285714285,6,7,7,0.8571428571428571,0.8571428571428571,6,19,0,0.3157894736842105
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,reverse,T5,c5d237452c8dfd4db8dbcbf714cda71dc3e6b9868415e8b543e5e71ffaa0739d,0.02083333395421505,0.0416666716337204,1,20,0.05,1,9,0.1111111111111111,8,9,10,0.8888888888888888,0.8,6,19,0,0.3157894736842105
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02777777798473835,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,8,19,0,0.42105263157894735
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_01-scene0309_04-scene0309_03-scene0309_00-scene0309_02,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02777777798473835,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,9,20,0,0.45
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T2,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.30324071645736694,0.3661971688270569,0,1,0.0,0,0,,0,0,0,,,5,16,0,0.3125
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T3,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.0173611119389534,0.0694444477558136,0,5,0.0,1,4,0.25,3,4,4,0.75,0.75,5,16,0,0.3125
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T4,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.0173611119389534,0.0694444477558136,2,8,0.25,1,5,0.2,4,5,6,0.8,0.6666666666666666,8,19,0,0.42105263157894735
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,canonical,T5,62ae344e93ad0616036aff6a307d74e8eae6c1610c2ec0f83ff6f1719e41ebd6,0.0520833358168602,0.0833333358168602,4,19,0.21052631578947367,1,12,0.08333333333333333,11,12,14,0.9166666666666666,0.7857142857142857,8,20,0,0.4
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T2,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.5022487044334412,0.5248677134513855,0,4,0.0,0,0,,0,0,0,,,5,16,0,0.3125
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T3,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.3325231671333313,0.3481481671333313,0,12,0.0,0,6,0.0,6,6,6,1.0,1.0,7,19,0,0.3684210526315789
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T4,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.2673611044883728,0.2986111044883728,0,14,0.0,0,8,0.0,8,8,9,1.0,0.8888888888888888,7,19,0,0.3684210526315789
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,reverse,T5,c9b0a423e5e0411adf733cc94f8637d3d854d0e084d82a0ddd097855aa208eaa,0.0069444444961845875,0.02777777798473835,2,18,0.1111111111111111,3,12,0.25,9,12,15,0.75,0.6,7,19,0,0.3684210526315789
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T2,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.26423609256744385,0.32571426033973694,1,1,1.0,0,0,,0,0,0,,,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T3,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.2604166567325592,0.30000001192092896,1,3,0.3333333333333333,0,0,,0,0,0,,,6,17,0,0.35294117647058826
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T4,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02777777798473835,3,7,0.42857142857142855,2,3,0.6666666666666666,1,3,6,0.3333333333333333,0.16666666666666666,8,19,0,0.42105263157894735
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_02-scene0309_01-scene0309_04-scene0309_03-scene0309_00,sha256_seed45,T5,6d408758a6ec53e2c0f0c531de8f40b4326b7cbfe85da81157c86952bf9fa70c,0.0069444444961845875,0.02777777798473835,5,17,0.29411764705882354,6,9,0.6666666666666666,3,9,14,0.3333333333333333,0.21428571428571427,9,20,0,0.45
B4,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_03-scene0309_00-scene0309_02-scene0309_01-scene0309_04,canonical,T2,2a73a637587c0f8020a22ba065b8a1985493123cc979c4010b977b07411bcec1,0.49365079402923584,0.49841269850730896,1,4,0.25,0,0,,0,0,0,,,4,16,0,0.25
