model,reference_scene_id,master_sequence_id,order_id,T,repeat,latency_ms,start_allocated_bytes,peak_allocated_bytes,incremental_peak_allocated_bytes,window_voxel_points,window_segments
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,0,447.919343,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,1,447.05115,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,450.378614,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,3,447.654286,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,4,449.370296,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,5,447.162326,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,6,448.252403,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,7,449.074503,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,8,448.305439,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,9,447.434784,607781888,1516502528,908720640,65164,1957
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0,402.374286,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,1,398.199591,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,398.621452,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,3,398.535339,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,4,398.826664,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,5,398.82474,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,6,399.532224,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,7,398.356643,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,8,397.222556,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,9,397.938066,603839488,1315165184,711325696,50920,1820
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0,370.699156,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,1,370.898579,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,370.2342,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,3,370.194639,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,4,370.173967,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,5,370.144072,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,6,370.733434,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,7,374.573138,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,8,370.64073,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,9,370.213794,603838464,1249281536,645443072,46465,1790
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0,405.296941,605833216,1400599552,794766336,57788,1792
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,1,404.759859,605833216,1400599552,794766336,57788,1792
C2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,404.066977,605833216,1400599552,794766336,57788,1792
