population_id,model,checkpoint_sha256,training_seed,evaluation_seed,method,reducer,T,t_mAP,t_mAP50,t_mAP25,t_REC,prefix_overall_mAP,local_current_AP,num_master,num_order_units,num_reference_clusters
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,latest,2,0.22273755073547363,0.3555622100830078,0.5427774786949158,0.38257914781570435,0.29398849606513977,0.37760424613952637,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,latest,3,0.13719001412391663,0.23894824087619781,0.39543020725250244,0.2924494743347168,0.24042010307312012,0.3929469585418701,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,latest,4,0.07186354696750641,0.12820275127887726,0.2570297122001648,0.21169517934322357,0.19406291842460632,0.35134363174438477,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,latest,5,0.04709076136350632,0.08789177238941193,0.19565404951572418,0.16716431081295013,0.17482052743434906,0.3662016987800598,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,max,2,0.21242369711399078,0.3490099012851715,0.5473243594169617,0.38257914781570435,0.29114049673080444,0.3594077229499817,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,max,3,0.13233543932437897,0.23658691346645355,0.40421247482299805,0.2924494743347168,0.24603694677352905,0.3792164623737335,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,max,4,0.07621106505393982,0.1378897875547409,0.2624914348125458,0.21169517934322357,0.2066808044910431,0.3386307954788208,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,max,5,0.05370800942182541,0.10035543888807297,0.21167273819446564,0.16716431081295013,0.18947581946849823,0.3565041124820709,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,mean,2,0.2250247597694397,0.3615202307701111,0.5546684861183167,0.38257914781570435,0.29670435190200806,0.3699883818626404,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,mean,3,0.14105857908725739,0.24546648561954498,0.4060819447040558,0.2924494743347168,0.2523999810218811,0.3784654140472412,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,mean,4,0.07600028812885284,0.13393597304821014,0.2521555721759796,0.21169517934322357,0.205010786652565,0.33763939142227173,43,129,6
protocol_b_43_masters_3_orders,C2,a4adb8ae1bc25830934a97926b7910d5f7ecde3b010cf877475cec82bff30724,45,45,B4,mean,5,0.05132272467017174,0.09245441108942032,0.20668703317642212,0.16716431081295013,0.18365316092967987,0.3499825894832611,43,129,6
protocol_b_43_masters_3_orders,FH-adapt,ddfda362673ce081dab8d7f790ffa223c336921ad6f85220aa3e6a78bca1a70c,45,45,FullHistory,official,2,0.22359953820705414,0.3656092882156372,0.5810418725013733,0.38594260811805725,0.2907857894897461,0.3565763533115387,43,129,6
protocol_b_43_masters_3_orders,FH-adapt,ddfda362673ce081dab8d7f790ffa223c336921ad6f85220aa3e6a78bca1a70c,45,45,FullHistory,official,3,0.14772279560565948,0.24486500024795532,0.4575510025024414,0.2814108431339264,0.2658754289150238,0.3710085451602936,43,129,6
protocol_b_43_masters_3_orders,FH-adapt,ddfda362673ce081dab8d7f790ffa223c336921ad6f85220aa3e6a78bca1a70c,45,45,FullHistory,official,4,0.10365748405456543,0.18637962639331818,0.331819087266922,0.21927055716514587,0.24283725023269653,0.34421688318252563,43,129,6
protocol_b_43_masters_3_orders,FH-adapt,ddfda362673ce081dab8d7f790ffa223c336921ad6f85220aa3e6a78bca1a70c,45,45,FullHistory,official,5,0.08030775189399719,0.14467059075832367,0.2777172029018402,0.16658039391040802,0.23294146358966827,0.37368959188461304,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,latest,2,0.20989060401916504,0.36929988861083984,0.53798508644104,0.3595978319644928,0.28133291006088257,0.36219850182533264,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,latest,3,0.09075969457626343,0.19760356843471527,0.3172537088394165,0.2467784285545349,0.18280674517154694,0.3660586476325989,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,latest,4,0.03721931576728821,0.10207545012235641,0.19676905870437622,0.1582692712545395,0.12915563583374023,0.3349381387233734,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,latest,5,0.018591661006212234,0.07087714970111847,0.15024518966674805,0.11020398139953613,0.09200063347816467,0.36786019802093506,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,max,2,0.19976159930229187,0.3607940375804901,0.5344268679618835,0.3595978319644928,0.27685871720314026,0.34522098302841187,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,max,3,0.09638481587171555,0.20842008292675018,0.3341578245162964,0.2467784285545349,0.19615699350833893,0.3517802953720093,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,max,4,0.04422478750348091,0.11151137202978134,0.21192650496959686,0.1582692712545395,0.14688894152641296,0.3308395743370056,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,max,5,0.02280879020690918,0.0780315175652504,0.1614125669002533,0.11020398139953613,0.10928341001272202,0.35359323024749756,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,mean,2,0.21901670098304749,0.38174915313720703,0.5496788620948792,0.3595978319644928,0.28964152932167053,0.35272061824798584,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,mean,3,0.09520649164915085,0.20295962691307068,0.32239237427711487,0.2467784285545349,0.18958964943885803,0.3583964407444,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,mean,4,0.04078220576047897,0.10736334323883057,0.20371876657009125,0.1582692712545395,0.13203667104244232,0.33099499344825745,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B2,mean,5,0.018287694081664085,0.0715848058462143,0.1523744910955429,0.11020398139953613,0.09010332077741623,0.36017104983329773,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B4,latest,2,0.2121754288673401,0.3712833523750305,0.542393147945404,0.3610108196735382,0.2819368839263916,0.36219850182533264,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B4,latest,3,0.12027052789926529,0.22088152170181274,0.3839184641838074,0.271001398563385,0.22151677310466766,0.3660586476325989,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B4,latest,4,0.0653170570731163,0.11838867515325546,0.2450179159641266,0.20148883759975433,0.17623230814933777,0.3349381387233734,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B4,latest,5,0.044165655970573425,0.08488091826438904,0.19133658707141876,0.15866969525814056,0.15562713146209717,0.36786019802093506,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B4,max,2,0.1981179267168045,0.3569315969944,0.5329921245574951,0.3610108196735382,0.27342143654823303,0.34128811955451965,43,129,6
protocol_b_129_units,R1_epoch390,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,45,45,B4,max,3,0.1161075010895729,0.21764469146728516,0.38073664903640747,0.271001398563385,0.221916064620018,0.35070502758026123,43,129,6
