comparison,candidate,baseline,metric,T,raw_delta,delta_pp,positive,evidence_scope
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP,2,0.005388021469116211,0.5388021469116211,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP,3,0.005560442805290222,0.5560442805290222,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP,4,-0.004158914089202881,-0.4158914089202881,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP,5,-0.007212527096271515,-0.7212527096271515,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP50,2,-0.020208150148391724,-2.0208150148391724,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP50,3,-0.0018844902515411377,-0.18844902515411377,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP50,4,-0.004926308989524841,-0.49263089895248413,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP50,5,-0.012132793664932251,-1.213279366493225,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP25,2,0.0025730133056640625,0.25730133056640625,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP25,3,0.005781888961791992,0.5781888961791992,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP25,4,-0.02181646227836609,-2.181646227836609,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_mAP25,5,-0.009027287364006042,-0.9027287364006042,False,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_REC,2,0.021568328142166138,2.1568328142166138,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_REC,3,0.021448075771331787,2.1448075771331787,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_REC,4,0.010206341743469238,1.0206341743469238,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,t_REC,5,0.00849461555480957,0.849461555480957,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,prefix_overall_mAP,2,0.009566068649291992,0.9566068649291992,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,prefix_overall_mAP,3,0.013941943645477295,1.3941943645477295,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,prefix_overall_mAP,4,0.009979650378227234,0.9979650378227234,True,protocol_b_43_masters_3_orders
C2_vs_R1_B4,C2_mean,R1_B4_mean,prefix_overall_mAP,5,0.007418036460876465,0.7418036460876465,True,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP,2,-0.0037527084350585938,-0.3752708435058594,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP,3,-0.00724676251411438,-0.724676251411438,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP,4,-0.026744775474071503,-2.6744775474071503,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP,5,-0.030243631452322006,-3.0243631452322006,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP50,2,-0.0064969658851623535,-0.6496965885162354,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP50,3,-0.0026573538780212402,-0.265735387802124,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP50,4,-0.053508564829826355,-5.3508564829826355,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP50,5,-0.05571625381708145,-5.571625381708145,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP25,2,-0.04931896924972534,-4.931896924972534,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP25,3,-0.06801530718803406,-6.801530718803406,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP25,4,-0.09452521800994873,-9.452521800994873,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_mAP25,5,-0.09048551321029663,-9.048551321029663,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_REC,2,0.009622126817703247,0.9622126817703247,True,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_REC,3,0.008439481258392334,0.8439481258392334,True,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_REC,4,-0.012532457709312439,-1.253245770931244,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,t_REC,5,-0.0075347572565078735,-0.7534757256507874,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,prefix_overall_mAP,2,-0.0033695101737976074,-0.33695101737976074,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,prefix_overall_mAP,3,-0.01682308316230774,-1.682308316230774,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,prefix_overall_mAP,4,-0.03609125316143036,-3.609125316143036,False,protocol_b_43_masters_3_orders
C2_vs_R1_FullHistory,C2_mean,R1_FullHistory,prefix_overall_mAP,5,-0.047387272119522095,-4.7387272119522095,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP,2,0.001425221562385559,0.1425221562385559,True,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP,3,-0.0066642165184021,-0.66642165184021,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP,4,-0.027657195925712585,-2.7657195925712585,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP,5,-0.028985027223825455,-2.8985027223825455,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP50,2,-0.004089057445526123,-0.4089057445526123,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP50,3,0.0006014853715896606,0.060148537158966064,True,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP50,4,-0.05244365334510803,-5.244365334510803,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP50,5,-0.05221617966890335,-5.221617966890335,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP25,2,-0.02637338638305664,-2.637338638305664,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP25,3,-0.05146905779838562,-5.146905779838562,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP25,4,-0.07966351509094238,-7.966351509094238,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_mAP25,5,-0.07103016972541809,-7.103016972541809,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_REC,2,-0.0033634603023529053,-0.3363460302352905,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_REC,3,0.011038631200790405,1.1038631200790405,True,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_REC,4,-0.007575377821922302,-0.7575377821922302,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,t_REC,5,0.0005839169025421143,0.058391690254211426,True,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,prefix_overall_mAP,2,0.005918562412261963,0.5918562412261963,True,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,prefix_overall_mAP,3,-0.0134754478931427,-1.34754478931427,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,prefix_overall_mAP,4,-0.03782646358013153,-3.782646358013153,False,protocol_b_43_masters_3_orders
C2_vs_FH-adapt,C2_mean,FH-adapt,prefix_overall_mAP,5,-0.0492883026599884,-4.92883026599884,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP,2,-0.005177929997444153,-0.5177929997444153,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP,3,-0.0005825459957122803,-0.05825459957122803,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP,4,0.0009124204516410828,0.09124204516410828,True,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP,5,-0.0012586042284965515,-0.12586042284965515,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP50,2,-0.0024079084396362305,-0.24079084396362305,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP50,3,-0.003258839249610901,-0.3258839249610901,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP50,4,-0.0010649114847183228,-0.10649114847183228,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP50,5,-0.0035000741481781006,-0.35000741481781006,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP25,2,-0.0229455828666687,-2.29455828666687,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP25,3,-0.016546249389648438,-1.6546249389648438,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP25,4,-0.014861702919006348,-1.4861702919006348,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_mAP25,5,-0.01945534348487854,-1.945534348487854,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_REC,2,0.012985587120056152,1.2985587120056152,True,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_REC,3,-0.0025991499423980713,-0.25991499423980713,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_REC,4,-0.004957079887390137,-0.49570798873901367,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,t_REC,5,-0.008118674159049988,-0.8118674159049988,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,prefix_overall_mAP,2,-0.00928807258605957,-0.928807258605957,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,prefix_overall_mAP,3,-0.003347635269165039,-0.3347635269165039,False,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,prefix_overall_mAP,4,0.0017352104187011719,0.1735210418701172,True,protocol_b_43_masters_3_orders
FH-adapt_vs_R1_FullHistory,FH-adapt,R1_FullHistory,prefix_overall_mAP,5,0.0019010305404663086,0.19010305404663086,True,protocol_b_43_masters_3_orders
