population_id,data_role,pool,tau,T,event_count,candidate_complete_count,candidate_complete_fraction,published_failure_count,diag_complete_candidate_failure_count,diag_complete_candidate_failure_fraction,reference_count,ambiguity_status
development,DEV-CAL,POLICY_POOL,0.25,2,222,208,0.9369369369369369,30,18,0.6,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.25,3,236,216,0.9152542372881356,31,17,0.5483870967741935,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.25,4,244,218,0.8934426229508197,34,17,0.5,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.25,5,252,220,0.873015873015873,38,17,0.4473684210526316,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,2,222,181,0.8153153153153153,30,2,0.06666666666666667,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,3,236,181,0.7669491525423728,31,2,0.06451612903225806,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,4,244,176,0.7213114754098361,34,3,0.08823529411764706,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,5,252,172,0.6825396825396826,38,4,0.10526315789473684,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.75,2,222,118,0.5315315315315315,30,1,0.03333333333333333,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.75,3,236,110,0.4661016949152542,31,0,0.0,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.75,4,244,95,0.38934426229508196,34,0,0.0,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.75,5,252,89,0.3531746031746032,38,1,0.02631578947368421,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.25,2,222,208,0.9369369369369369,30,18,0.6,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.25,3,236,216,0.9152542372881356,31,17,0.5483870967741935,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.25,4,244,219,0.8975409836065574,34,17,0.5,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.25,5,252,221,0.876984126984127,38,17,0.4473684210526316,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.5,2,222,188,0.8468468468468469,30,4,0.13333333333333333,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.5,3,236,193,0.8177966101694916,31,6,0.1935483870967742,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.5,4,244,190,0.7786885245901639,34,5,0.14705882352941177,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.5,5,252,186,0.7380952380952381,38,6,0.15789473684210525,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.75,2,222,120,0.5405405405405406,30,1,0.03333333333333333,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.75,3,236,117,0.4957627118644068,31,0,0.0,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.75,4,244,105,0.430327868852459,34,0,0.0,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,RELAXED_OLD_NEW_POOL,0.75,5,252,100,0.3968253968253968,38,1,0.02631578947368421,4,AMBIGUITY_METADATA_UNAVAILABLE
