population_id,data_role,method,config_id,mask_selector,score_mode,T,deployment_id_switches,identity_transition_opportunities,normalized_id_switch_rate,fragmentation_count,fragmentation_opportunities,fragmentation_rate,merge_count,merge_opportunities,merge_rate,gap_opportunities,recovery_attempts,correct_recoveries,wrong_reactivations,wrong_reactivation_rate,gap_recovery_accuracy,gap_recovery_recall,status,reason
development,PROTOCOL-B,D0,D0,M-new,mean,2,326,637,0.5117739403453689,326,637,0.5117739403453689,25,336,0.0744047619047619,0,0,0,0,,,,MEASURED,
development,PROTOCOL-B,D0,D0,M-new,mean,3,639,1283,0.49805144193296963,697,1495,0.4662207357859532,48,846,0.05673758865248227,272,130,61,69,0.5307692307692308,0.46923076923076923,0.22426470588235295,MEASURED,
development,PROTOCOL-B,D0,D0,M-new,mean,4,955,1961,0.48699643039265683,1085,2484,0.4367954911433172,84,1483,0.056641942009440324,696,354,163,191,0.53954802259887,0.4604519774011299,0.23419540229885058,MEASURED,
development,PROTOCOL-B,D0,D0,M-new,mean,5,1262,2663,0.47390161472024034,1473,3520,0.4184659090909091,114,2161,0.052753354928273946,1093,568,249,319,0.5616197183098591,0.43838028169014087,0.22781335773101555,MEASURED,
development,PROTOCOL-B,A0-U-default,A0-U-tau-0.666666666667,M-new,mean,2,358,637,0.5620094191522763,358,637,0.5620094191522763,30,309,0.0970873786407767,0,0,0,0,,,,MEASURED,
development,PROTOCOL-B,A0-U-default,A0-U-tau-0.666666666667,M-new,mean,3,693,1283,0.5401402961808262,755,1495,0.5050167224080268,61,801,0.07615480649188515,272,130,64,66,0.5076923076923077,0.49230769230769234,0.23529411764705882,MEASURED,
development,PROTOCOL-B,A0-U-default,A0-U-tau-0.666666666667,M-new,mean,4,1050,1961,0.5354411014788373,1182,2484,0.4758454106280193,113,1415,0.07985865724381626,696,354,157,197,0.556497175141243,0.4435028248587571,0.22557471264367815,MEASURED,
development,PROTOCOL-B,A0-U-default,A0-U-tau-0.666666666667,M-new,mean,5,1386,2663,0.5204656402553511,1579,3520,0.4485795454545455,154,2095,0.07350835322195703,1093,568,237,331,0.5827464788732394,0.41725352112676056,0.21683440073193047,MEASURED,
development,PROTOCOL-B,A1-default,A1-theta-0.65,M-new,mean,2,353,637,0.554160125588697,353,637,0.554160125588697,31,315,0.09841269841269841,0,0,0,0,,,,MEASURED,
development,PROTOCOL-B,A1-default,A1-theta-0.65,M-new,mean,3,682,1283,0.5315666406858924,738,1495,0.4936454849498328,67,824,0.08131067961165049,272,130,64,66,0.5076923076923077,0.49230769230769234,0.23529411764705882,MEASURED,
development,PROTOCOL-B,A1-default,A1-theta-0.65,M-new,mean,4,1028,1961,0.5242223355430903,1157,2484,0.46578099838969406,116,1443,0.08038808038808039,696,354,163,191,0.53954802259887,0.4604519774011299,0.23419540229885058,MEASURED,
development,PROTOCOL-B,A1-default,A1-theta-0.65,M-new,mean,5,1373,2663,0.5155839279008637,1583,3520,0.4497159090909091,161,2098,0.0767397521448999,1093,568,237,331,0.5827464788732394,0.41725352112676056,0.21683440073193047,MEASURED,
development,PROTOCOL-B,frozen-final-candidate,D0,M-new,SYSTEM_SELECTED_SCORE,2,326,637,0.5117739403453689,326,637,0.5117739403453689,25,336,0.0744047619047619,0,0,0,0,,,,MEASURED_FROZEN,selected before Protocol-B scoring
development,PROTOCOL-B,frozen-final-candidate,D0,M-new,SYSTEM_SELECTED_SCORE,3,639,1283,0.49805144193296963,697,1495,0.4662207357859532,48,846,0.05673758865248227,272,130,61,69,0.5307692307692308,0.46923076923076923,0.22426470588235295,MEASURED_FROZEN,selected before Protocol-B scoring
development,PROTOCOL-B,frozen-final-candidate,D0,M-new,SYSTEM_SELECTED_SCORE,4,955,1961,0.48699643039265683,1085,2484,0.4367954911433172,84,1483,0.056641942009440324,696,354,163,191,0.53954802259887,0.4604519774011299,0.23419540229885058,MEASURED_FROZEN,selected before Protocol-B scoring
development,PROTOCOL-B,frozen-final-candidate,D0,M-new,SYSTEM_SELECTED_SCORE,5,1262,2663,0.47390161472024034,1473,3520,0.4184659090909091,114,2161,0.052753354928273946,1093,568,249,319,0.5616197183098591,0.43838028169014087,0.22781335773101555,MEASURED_FROZEN,selected before Protocol-B scoring
