capacity,horizon,sequence_count,reference_scene_count,peak_occupied_slots_mean,peak_occupied_slots_median,peak_occupied_slots_q25,peak_occupied_slots_q75,peak_occupied_slots_max,mean_occupied_slots_mean,mean_occupied_slots_median,mean_occupied_slots_q25,mean_occupied_slots_q75,mean_occupied_slots_max,peak_occupancy_ratio_mean,peak_occupancy_ratio_median,peak_occupancy_ratio_q25,peak_occupancy_ratio_q75,peak_occupancy_ratio_max,peak_active_slots_mean,peak_active_slots_median,peak_active_slots_q25,peak_active_slots_q75,peak_active_slots_max,peak_dormant_slots_mean,peak_dormant_slots_median,peak_dormant_slots_q25,peak_dormant_slots_q75,peak_dormant_slots_max,birth_opportunities,accepted_births,rejected_births,birth_rejection_rate,state_bytes,memory_update_latency_ms_mean,memory_update_latency_ms_median,memory_update_latency_ms_q25,memory_update_latency_ms_q75,memory_update_latency_ms_max,total_update_latency_ms_mean,total_update_latency_ms_median,total_update_latency_ms_q25,total_update_latency_ms_q75,total_update_latency_ms_max,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
64,2,129,6,13.65891472868217,12.0,10.0,16.0,28.0,12.011627906976743,11.0,8.5,14.5,26.0,0.2134205426356589,0.1875,0.15625,0.25,0.4375,12.581395348837209,12.0,10.0,15.0,26.0,2.89922480620155,2.0,0.0,4.0,12.0,1762,1762,0,0.0,39048,0.7013567364341086,0.6611644999999999,0.638082,0.7683625000000001,1.257308,20.584350631782947,17.850523000000003,12.398671,27.6723935,55.9039435,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882,0.2900303304195404,0.46857950091362,0.6604762673377991,0.40812087059020996,47,463,47,463,80,496,0,0,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
64,3,129,6,15.023255813953488,14.0,11.0,17.0,30.0,13.015503875968992,12.0,9.666666666666666,15.333333333333334,26.666666666666668,0.23473837209302326,0.21875,0.171875,0.265625,0.46875,13.62015503875969,12.0,10.0,16.0,26.0,5.186046511627907,4.0,2.0,7.0,17.0,1938,1938,0,0.0,39048,0.7193017622739019,0.6908043333333334,0.649562,0.7706540000000001,1.1827436666666669,20.117776485788113,17.315665666666668,12.371819666666667,24.057951666666668,70.13695766666666,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854,0.30016884207725525,0.49387311935424805,0.6779093146324158,0.4150903820991516,96,963,99,1106,159,1166,272,89,80,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
64,4,129,6,16.3953488372093,15.0,13.0,19.0,30.0,13.86046511627907,12.5,10.25,16.25,27.0,0.25617732558139533,0.234375,0.203125,0.296875,0.46875,14.69767441860465,14.0,10.0,17.0,26.0,6.674418604651163,6.0,4.0,9.0,19.0,2115,2115,0,0.0,39048,0.7279063313953489,0.7000897500000001,0.66470675,0.78759025,1.093138,20.451622011627908,18.39694825,11.664668,25.03603325,56.947827249999996,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866,0.29914402961730957,0.4992165267467499,0.6799190044403076,0.4034278690814972,154,1488,167,1865,245,1943,696,246,207,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
64,5,129,6,17.162790697674417,16.0,13.0,20.0,30.0,14.52093023255814,13.4,11.0,17.0,27.2,0.26816860465116277,0.25,0.203125,0.3125,0.46875,15.387596899224807,14.0,11.0,18.0,26.0,8.007751937984496,7.0,5.0,11.0,19.0,2214,2214,0,0.0,39048,0.7278778093023256,0.6980198,0.6690834000000001,0.7820180000000001,1.0856788,20.479982063565892,18.030785799999997,11.660240400000001,26.735188,50.199731199999995,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233,0.3091486096382141,0.4908618927001953,0.6834797859191895,0.41561758518218994,226,2029,236,2673,317,2754,1093,395,341,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
100,2,129,6,13.65891472868217,12.0,10.0,16.0,28.0,12.011627906976743,11.0,8.5,14.5,26.0,0.1365891472868217,0.12,0.1,0.16,0.28,12.581395348837209,12.0,10.0,15.0,26.0,2.89922480620155,2.0,0.0,4.0,12.0,1762,1762,0,0.0,61008,0.7052249224806201,0.6701655,0.642807,0.7871429999999999,1.019992,17.615585434108528,15.3156515,9.9904025,22.070698999999998,51.742126,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882,0.2900303304195404,0.46857950091362,0.6604762673377991,0.40812087059020996,47,463,47,463,80,496,0,0,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
100,3,129,6,15.023255813953488,14.0,11.0,17.0,30.0,13.015503875968992,12.0,9.666666666666666,15.333333333333334,26.666666666666668,0.15023255813953487,0.14,0.11,0.17,0.3,13.62015503875969,12.0,10.0,16.0,26.0,5.186046511627907,4.0,2.0,7.0,17.0,1938,1938,0,0.0,61008,0.7303278449612404,0.7033036666666667,0.6623513333333334,0.7846383333333334,0.9972166666666666,17.83391445736434,15.252999666666668,11.494307999999998,21.668520666666666,51.09794133333333,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854,0.30016884207725525,0.49387311935424805,0.6779093146324158,0.4150903820991516,96,963,99,1106,159,1166,272,89,80,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
100,4,129,6,16.3953488372093,15.0,13.0,19.0,30.0,13.86046511627907,12.5,10.25,16.25,27.0,0.16395348837209303,0.15,0.13,0.19,0.3,14.69767441860465,14.0,10.0,17.0,26.0,6.674418604651163,6.0,4.0,9.0,19.0,2115,2115,0,0.0,61008,0.7425319748062016,0.715867,0.67899575,0.8060415000000001,0.97618925,18.697687470930234,16.41655275,11.3503445,22.66322625,43.75128625,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866,0.29914402961730957,0.4992165267467499,0.6799190044403076,0.4034278690814972,154,1488,167,1865,245,1943,696,246,207,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
100,5,129,6,17.162790697674417,16.0,13.0,20.0,30.0,14.52093023255814,13.4,11.0,17.0,27.2,0.17162790697674418,0.16,0.13,0.2,0.3,15.387596899224807,14.0,11.0,18.0,26.0,8.007751937984496,7.0,5.0,11.0,19.0,2214,2214,0,0.0,61008,0.7447728418604651,0.7170398,0.6888512,0.8014836000000001,0.9596088,19.07517194263566,17.2517212,11.263723,25.165764000000003,39.598626,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233,0.3091486096382141,0.4908618927001953,0.6834797859191895,0.41561758518218994,226,2029,236,2673,317,2754,1093,395,341,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
128,2,129,6,13.65891472868217,12.0,10.0,16.0,28.0,12.011627906976743,11.0,8.5,14.5,26.0,0.10671027131782945,0.09375,0.078125,0.125,0.21875,12.581395348837209,12.0,10.0,15.0,26.0,2.89922480620155,2.0,0.0,4.0,12.0,1762,1762,0,0.0,78088,0.7209417015503876,0.6857115,0.660096,0.7838815,0.9679165000000001,17.70271596124031,15.213384,9.907532999999999,21.8530665,52.820063,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882,0.2900303304195404,0.46857950091362,0.6604762673377991,0.40812087059020996,47,463,47,463,80,496,0,0,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
128,3,129,6,15.023255813953488,14.0,11.0,17.0,30.0,13.015503875968992,12.0,9.666666666666666,15.333333333333334,26.666666666666668,0.11736918604651163,0.109375,0.0859375,0.1328125,0.234375,13.62015503875969,12.0,10.0,16.0,26.0,5.186046511627907,4.0,2.0,7.0,17.0,1938,1938,0,0.0,78088,0.7451606020671834,0.7180963333333333,0.6782936666666667,0.806123,1.0226336666666667,17.938006248062017,15.497135333333333,11.616779000000001,21.77422,50.626253,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854,0.30016884207725525,0.49387311935424805,0.6779093146324158,0.4150903820991516,96,963,99,1106,159,1166,272,89,80,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
