population_id,data_role,pool,tau,T,event_count,raw_event_count,excluded_count,ambiguous_unresolved_count,candidate_complete_count,candidate_complete_fraction,published_failure_count,diag_complete_candidate_failure_count,diag_complete_candidate_failure_fraction,reference_count,ambiguity_status
development,DEV-CAL,POLICY_POOL,0.25,2,217,222,5,0,204,0.9400921658986175,23,10,0.43478260869565216,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.25,3,231,236,5,0,211,0.9134199134199135,39,19,0.48717948717948717,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.25,4,240,244,4,0,214,0.8916666666666667,50,24,0.48,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.25,5,247,252,5,0,215,0.8704453441295547,68,36,0.5294117647058824,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,2,217,222,5,0,177,0.815668202764977,52,12,0.23076923076923078,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,3,231,236,5,0,176,0.7619047619047619,77,22,0.2857142857142857,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,4,240,244,4,0,172,0.7166666666666667,93,25,0.26881720430107525,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.5,5,247,252,5,0,167,0.6761133603238867,115,35,0.30434782608695654,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.55,2,217,222,5,0,165,0.7603686635944701,64,12,0.1875,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.55,3,231,236,5,0,160,0.6926406926406926,93,22,0.23655913978494625,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.55,4,240,244,4,0,157,0.6541666666666667,105,22,0.20952380952380953,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.55,5,247,252,5,0,151,0.611336032388664,128,32,0.25,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.6,2,217,222,5,0,159,0.7327188940092166,70,12,0.17142857142857143,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.6,3,231,236,5,0,154,0.6666666666666666,97,20,0.20618556701030927,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.6,4,240,244,4,0,151,0.6291666666666667,111,22,0.1981981981981982,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.6,5,247,252,5,0,141,0.5708502024291497,132,26,0.19696969696969696,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.65,2,217,222,5,0,147,0.6774193548387096,83,13,0.1566265060240964,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.65,3,231,236,5,0,137,0.5930735930735931,113,19,0.168141592920354,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.65,4,240,244,4,0,129,0.5375,132,21,0.1590909090909091,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.65,5,247,252,5,0,124,0.5020242914979757,146,23,0.15753424657534246,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.7,2,217,222,5,0,132,0.6082949308755761,96,11,0.11458333333333333,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.7,3,231,236,5,0,121,0.5238095238095238,126,16,0.12698412698412698,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.7,4,240,244,4,0,109,0.45416666666666666,147,16,0.10884353741496598,4,AMBIGUITY_METADATA_UNAVAILABLE
development,DEV-CAL,POLICY_POOL,0.7,5,247,252,5,0,104,0.42105263157894735,160,17,0.10625,4,AMBIGUITY_METADATA_UNAVAILABLE
