logical_unit_id,reference_id,master_id,order_id,absolute_stage,group_count,gt_tag_match_count,birth_count,ambiguous_group_count,untagged_group_count,diagnostic_only
CAL:00000,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,0,78,0,78,0,20,True
CAL:00000,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,1,83,20,63,0,56,True
CAL:00000,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,2,62,18,44,0,28,True
CAL:00000,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,3,66,12,54,0,45,True
CAL:00000,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,4,61,23,38,0,12,True
CAL:00001,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,0,75,0,75,0,51,True
CAL:00001,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,1,64,8,56,0,33,True
CAL:00001,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,2,67,9,58,0,53,True
CAL:00001,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,3,70,13,57,0,14,True
CAL:00001,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,4,86,45,41,0,25,True
CAL:00002,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,0,62,0,62,0,26,True
CAL:00002,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,1,68,15,53,0,19,True
CAL:00002,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,2,79,30,49,0,28,True
CAL:00002,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,3,84,15,69,0,67,True
CAL:00002,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,4,62,14,48,0,30,True
CAL:00003,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,0,62,0,62,0,22,True
CAL:00003,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,1,68,6,62,0,54,True
CAL:00003,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,2,71,16,55,0,13,True
CAL:00003,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,3,87,36,51,0,28,True
CAL:00003,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,4,81,17,64,0,62,True
CAL:00004,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,0,73,0,73,0,23,True
CAL:00004,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,76,27,49,0,32,True
CAL:00004,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,2,86,10,76,0,70,True
CAL:00004,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,3,67,16,51,0,27,True
CAL:00004,09582244-e2c2-2de1-956c-357092d949d1,09582244-e2c2-2de1-956c-357092d949d1:scene0007_00|scene0007_01|scene0007_02|scene0007_03|scene0007_04,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,4,61,14,47,0,47,True
CAL:00005,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,0,63,0,63,0,26,True
CAL:00005,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,1,66,29,37,0,31,True
CAL:00005,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,2,59,10,49,0,48,True
CAL:00005,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,3,67,17,50,0,32,True
CAL:00005,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,4,76,28,48,0,38,True
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,0,64,0,64,0,38,True
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,1,64,25,39,0,33,True
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,2,74,31,43,0,26,True
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,3,58,16,42,0,42,True
CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,4,70,22,48,0,37,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,0,49,0,49,0,27,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,1,62,10,52,0,45,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,2,70,15,55,0,38,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,3,65,21,44,0,36,True
CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,4,71,28,43,0,38,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,0,69,0,69,0,42,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,1,65,20,45,0,34,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,2,61,18,43,0,36,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,3,71,23,48,0,37,True
CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,4,67,31,36,0,28,True
CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,0,73,0,73,0,39,True
CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,0f2f2711-b736-2f71-8c6a-245a9d820a8c:scene0066_00|scene0066_01|scene0066_02|scene0066_03|scene0066_04,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,1,69,18,51,0,43,True
