role,method,T,status,t_mAP,actual_units,expected_units,actual_references,expected_references
CAL,D0,2,PASS,0.36262261867523193,23,23,4,4
CAL,D0,3,PASS,0.2918131351470947,23,23,4,4
CAL,D0,4,PASS,0.24670922756195068,23,23,4,4
CAL,D0,5,PASS,0.22270338237285614,23,23,4,4
CAL,FH-native,2,PASS,0.3792975842952728,23,23,4,4
CAL,FH-native,3,PASS,0.3140757381916046,23,23,4,4
CAL,FH-native,4,PASS,0.2615334689617157,23,23,4,4
CAL,FH-native,5,PASS,0.23299665749073029,23,23,4,4
SEL,D0,2,PASS,0.6742081642150879,24,24,4,4
SEL,D0,3,PASS,0.64934241771698,24,24,4,4
SEL,D0,4,PASS,0.6172727942466736,24,24,4,4
SEL,D0,5,PASS,0.5818741917610168,24,24,4,4
SEL,FH-native,2,PASS,0.6663585305213928,24,24,4,4
SEL,FH-native,3,PASS,0.6002776026725769,24,24,4,4
SEL,FH-native,4,PASS,0.5635798573493958,24,24,4,4
SEL,FH-native,5,PASS,0.5343656539916992,24,24,4,4
