method,reference_scene_id,T,master_sequence_id,measured_repeats,median_input_prepare_ms,minimum_input_prepare_ms,maximum_input_prepare_ms,median_network_forward_ms,minimum_network_forward_ms,maximum_network_forward_ms,median_scorer_ms,minimum_scorer_ms,maximum_scorer_ms,median_refiner_ms,minimum_refiner_ms,maximum_refiner_ms,median_state_update_ms,minimum_state_update_ms,maximum_state_update_ms,median_materialize_ms,minimum_materialize_ms,maximum_materialize_ms,median_end_to_end_ms,minimum_end_to_end_ms,maximum_end_to_end_ms,median_prefix_cumulative_ms,minimum_prefix_cumulative_ms,maximum_prefix_cumulative_ms,maximum_peak_allocated_bytes,maximum_peak_reserved_bytes,maximum_cpu_rss_bytes,maximum_resident_state_bytes,maximum_soft_buffer_bytes,maximum_archive_bytes
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,2,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,101.748715,99.835439,104.605803,439.27937,438.901469,443.760275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.542226,215.289421,224.641542,763.7925,755.981529,766.943606,1364.019262,1353.105841,1364.533094,1515893760,8095006720,2388836352,0,0,0
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,148.66402,144.11673,154.113116,548.030798,545.754226,548.668619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.605052,387.689548,421.912736,1086.974884,1077.597871,1124.098053,2442.130965,2440.080725,2488.117315,1915132928,8095006720,2388836352,0,0,0
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,4,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,172.752252,170.330687,176.008911,616.174166,614.776905,622.579418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.085656,463.806345,495.724385,1264.627177,1262.431902,1283.291136,3725.422101,3704.707902,3750.5492169999998,2173818368,8095006720,2388836352,0,0,0
FH-R1-native,10b17940-3938-2467-8a7a-958300ba83d3,5,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,239.090351,225.704353,239.734387,773.73931,761.055196,779.800206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.563479,676.524918,715.058186,1715.890646,1676.00565,1718.491214,5423.199116,5401.427751,5466.439863,2720326656,8095006720,2388836352,0,0,0
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,2,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,156.165607,155.121829,156.775495,516.774316,514.600021,517.476895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.789828,313.091581,320.463119,991.272023,985.023858,994.081779,1831.979801,1827.997341,1837.902949,1819833856,10622074880,2400321536,0,0,0
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,3,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,218.629833,215.35854,221.691471,691.241082,685.909429,697.021086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.826824,566.377335,609.410503,1505.132486,1482.06631,1522.381929,3337.112287,3319.969259,3350.37927,2474959872,10622074880,2400321536,0,0,0
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,4,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,237.021773,235.928514,237.79045,743.207436,740.717778,743.796358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.70538,598.038268,641.696118,1618.972859,1574.720232,1623.320288,4938.942118,4911.832519,4973.699558,2636235776,10622074880,2400321536,0,0,0
FH-R1-native,137a8158-1db5-2cc0-8003-31c12610471e,5,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,276.228872,271.734766,278.285522,841.724611,839.228464,847.085081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.656666,766.71255,823.349405,1893.656428,1886.760475,1946.702938,6858.535457,6832.598546,6860.460033,2991079936,10622074880,2400321536,0,0,0
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,2,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,244.568645,244.463648,318.036685,681.857783,679.682582,708.45482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.188356,650.680338,719.065757,1643.352936,1577.041424,1744.72713,2559.000955,2506.183901,2676.754335,2399962112,21414019072,2416074752,0,0,0
FH-R1-native,280d8ebb-6cc6-2788-9153-98959a2da801,3,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,3,356.974511,356.36671,359.658265,912.205638,907.245785,917.279025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.903495,990.011377,1033.046324,2271.886158,2259.229314,2296.694402,4855.6953570000005,4765.4132150000005,4948.640493,3187738112,21414019072,2416074752,0,0,0
