parent,role,method,step,coverage,T2,T3,T4,T5,mean_delta_parent,min_delta_parent
R1,CAL,PARENT,0,COMPLETE,0.36262261867523193,0.2918131351470947,0.24670922756195068,0.22270338237285614,0.0,0.0
R1,CAL,R-NEW-R1@0000,0,COMPLETE,0.36262261867523193,0.2918131351470947,0.24670922756195068,0.22270338237285614,0.0,0.0
R1,CAL,R-NEW-R1@0500,500,COMPLETE,0.35512426495552063,0.2785252034664154,0.23225581645965576,0.2099774032831192,-0.011991418898105621,-0.014453411102294922
R1,CAL,R-NEW-R1@1000,1000,COMPLETE,0.35512426495552063,0.2785252034664154,0.23225581645965576,0.2099774032831192,-0.011991418898105621,-0.014453411102294922
R1,CAL,R-NEW-R1@1500,1500,COMPLETE,0.35512426495552063,0.2785252034664154,0.23225581645965576,0.2099774032831192,-0.011991418898105621,-0.014453411102294922
R1,CAL,R-PAIR-R1@0000,0,COMPLETE,0.36262261867523193,0.2918131351470947,0.24670922756195068,0.22270338237285614,0.0,0.0
R1,CAL,R-PAIR-R1@0500,500,COMPLETE,0.35512426495552063,0.2785252034664154,0.23225581645965576,0.2093258500099182,-0.012154307216405869,-0.014453411102294922
R1,CAL,R-PAIR-R1@1000,1000,COMPLETE,0.35512426495552063,0.2785252034664154,0.23225581645965576,0.2093258500099182,-0.012154307216405869,-0.014453411102294922
R1,CAL,R-PAIR-R1@1500,1500,COMPLETE,0.35512426495552063,0.2785252034664154,0.23225581645965576,0.2093258500099182,-0.012154307216405869,-0.014453411102294922
R1,SEL,PARENT,0,COMPLETE,0.6742081642150879,0.64934241771698,0.6172727942466736,0.5818741917610168,0.0,0.0
R1,SEL,R-NEW-R1@0000,0,COMPLETE,0.6742081642150879,0.64934241771698,0.6172727942466736,0.5818741917610168,0.0,0.0
R1,SEL,R-PAIR-R1@0000,0,COMPLETE,0.6742081642150879,0.64934241771698,0.6172727942466736,0.5818741917610168,0.0,0.0
P,CAL,PARENT,,NOT_RUN,,,,,,
P,SEL,PARENT,,NOT_RUN,,,,,,
