task,status,dependencies,reason,observed_from
BIND,COMPLETE,[],,RUN_STATE.json
DATA,COMPLETE,"[""BIND""]",,RUN_STATE.json
BASELINE,COMPLETE,"[""DATA""]",,RUN_STATE.json
HIGH_CONT,COMPLETE,"[""DATA""]",,RUN_STATE.json
LOW_PAIR,COMPLETE,"[""DATA""]",,RUN_STATE.json
REPAIR_R1,COMPLETE,"[""DATA""]",,RUN_STATE.json
ASSOC,COMPLETE,"[""BASELINE""]",,RUN_STATE.json
AUX,COMPLETE,"[""HIGH_CONT"", ""LOW_PAIR"", ""BASELINE""]",,RUN_STATE.json
PERCEPTION,COMPLETE,"[""BASELINE"", ""AUX""]",,RUN_STATE.json
REPAIR_P,NOT_APPLICABLE,"[""PERCEPTION"", ""REPAIR_R1""]",P is R1; reuse its existing paired repair,RUN_STATE.json
LOCK,COMPLETE,"[""PERCEPTION"", ""REPAIR_R1"", ""REPAIR_P"", ""ASSOC"", ""BASELINE""]",,RUN_STATE.json
REPLICATE,COMPLETE,"[""LOCK""]",,RUN_STATE.json
CONFIRM,COMPLETE,"[""LOCK"", ""DATA""]",,RUN_STATE.json
PROFILE,COMPLETE,"[""LOCK"", ""DATA""]",,RUN_STATE.json
REPORT,COMPLETE,"[""REPLICATE"", ""CONFIRM"", ""PROFILE""]",,RUN_STATE.json
PUBLISH,RUNNING,"[""REPORT""]",,RUN_STATE.json
