run_id,mode,T,batch_size,trial,precision,seed,sequence_names,num_points,num_voxels,peak_gpu_memory_mb,wall_time_ms,samples_per_second,forward_backward_ms,max_batch_size_without_oom,oom_observed,gpu_name,gpu_uuid,driver_version,torch_version,cuda_version,backbone,voxel_size,freeze_mode,source_commit
p0-p1-a40-20260809,inference,2,1,0,fp32,45,"[""scene0219_00-scene0219_02""]",107183,80416,1625.083984375,358.4019939880818,2.7901630481253785,358.4006300661713,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,1,fp32,45,"[""scene0219_01-scene0219_03""]",95345,70725,1486.44677734375,333.8925768621266,2.994975238437024,333.89105508103967,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,2,fp32,45,"[""scene0219_02-scene0219_01""]",93812,69725,1476.0322265625,332.29384711012244,3.009384641625938,332.2923509404063,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,3,fp32,45,"[""scene0219_03-scene0219_04""]",116314,84608,1672.00927734375,371.5482638217509,2.6914403790075223,371.54659908264875,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,4,fp32,45,"[""scene0219_04-scene0219_00""]",113892,83496,1666.60302734375,370.99786289036274,2.6954333165404782,370.9958619438112,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,5,fp32,45,"[""scene0219_00-scene0219_02""]",107183,80416,1625.083984375,358.0432632006705,2.7929585689189067,358.041490893811,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,6,fp32,45,"[""scene0219_01-scene0219_03""]",95345,70725,1486.44677734375,331.2085240613669,3.0192459654653034,331.20718295685947,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,7,fp32,45,"[""scene0219_02-scene0219_01""]",93812,69725,1476.0322265625,331.16299007087946,3.0196611033919223,331.16156700998545,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,8,fp32,45,"[""scene0219_03-scene0219_04""]",116314,84608,1672.00927734375,369.0139630343765,2.709924556179578,369.012518087402,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,inference,2,1,9,fp32,45,"[""scene0219_04-scene0219_00""]",113892,83496,1666.60302734375,367.55135795101523,2.720708217688787,367.54979100078344,32,False,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,training,2,1,0,fp32,45,"[""scene0219_00-scene0219_02""]",107183,80416,5574.95068359375,632.1587271522731,1.5818811906698902,632.1568959392607,8,True,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,training,2,1,1,fp32,45,"[""scene0219_01-scene0219_03""]",95345,70725,5008.20068359375,592.1613711398095,1.6887288646930325,592.1597750857472,8,True,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,training,2,1,2,fp32,45,"[""scene0219_02-scene0219_01""]",93812,69725,4974.01708984375,594.6672610007226,1.6816126691036801,594.6657960303128,8,True,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,training,2,1,3,fp32,45,"[""scene0219_03-scene0219_04""]",116314,84608,5784.41162109375,649.1409309674054,1.540497528802743,649.1392028983682,8,True,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,training,2,1,4,fp32,45,"[""scene0219_04-scene0219_00""]",113892,83496,5746.85107421875,645.5786109436303,1.5489980353257342,645.5764239653945,8,True,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,training,2,1,5,fp32,45,"[""scene0219_00-scene0219_02""]",107183,80416,5576.10205078125,630.803104955703,1.5852807193620633,630.8015559334308,8,True,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
p0-p1-a40-20260809,training,2,1,6,fp32,45,"[""scene0219_01-scene0219_03""]",95345,70725,5007.52392578125,594.7453221306205,1.6813919551608945,594.7438890580088,8,True,NVIDIA A40,redacted,595.71.05,2.6.0+cu126,12.6,concerto_base,0.02,backbone_encoder,fb2fe42eb8f1e926567c48eea9acb874e608ee10
