policy,level,pass_count,element_count,mean_cosine,minimum_cosine,relative_rms_deviation,mean_feature_variance
current,decoder_level_0,8,507360,0.9641018084117344,0.9622581005096436,0.2507860912980214,0.12308785319328308
current,decoder_level_1,8,66048,0.8695689524923053,0.8531995415687561,0.4785570717957743,0.01497531495988369
current,decoder_level_2,8,163968,0.910716678415026,0.8995176553726196,0.3950837556640224,0.3310863971710205
current,decoder_level_3,8,233664,0.9312567796025958,0.9242932796478271,0.3467404472800389,0.24655510485172272
current,decoder_level_4,8,278208,0.9523258805274963,0.9504762291908264,0.28874077853541325,0.16983571648597717
current,decoder_level_5,8,507360,0.9641018084117344,0.9622581005096436,0.2507860912980214,0.12308785319328308
drop_path_disabled,decoder_level_0,8,507360,0.9942500335829598,0.9925602674484253,0.1004059813519615,0.018048366531729698
drop_path_disabled,decoder_level_1,8,66048,0.998365751334599,0.9972226023674011,0.05374082988602919,0.0001730445510474965
drop_path_disabled,decoder_level_2,8,163968,0.9985861011913845,0.9974300861358643,0.04977402065659558,0.005337747745215893
drop_path_disabled,decoder_level_3,8,233664,0.9983426587922233,0.9979159832000732,0.0538904317667816,0.005539772100746632
drop_path_disabled,decoder_level_4,8,278208,0.9969785979815892,0.9962350130081177,0.07275268097704733,0.009804029949009418
drop_path_disabled,decoder_level_5,8,507360,0.9942500335829598,0.9925602674484253,0.1004059813519615,0.018048366531729698
