record_type,file_name,num_queries,foreground_query_fraction,background_query_fraction,gt_instance_count,gt_instance_coverage,query_content_norm_mean,query_content_norm_max,query_content_zero_fraction,gt_instance_id,gt_label,size_points,size_bin,query_count,covered_by_fps_query
scene_summary,scene0003_00-scene0003_03,100,0.6399999856948853,0.36000001430511475,6,1.0,0.0,0.0,1.0,,,,,,
gt_instance,scene0003_00-scene0003_03,,,,,,,,,2,3,4907,large_ge1000,9,True
gt_instance,scene0003_00-scene0003_03,,,,,,,,,3,3,5440,large_ge1000,14,True
gt_instance,scene0003_00-scene0003_03,,,,,,,,,4,2,3284,large_ge1000,13,True
gt_instance,scene0003_00-scene0003_03,,,,,,,,,5,11,8071,large_ge1000,22,True
gt_instance,scene0003_00-scene0003_03,,,,,,,,,6,17,819,medium_100_999,3,True
gt_instance,scene0003_00-scene0003_03,,,,,,,,,7,17,2228,large_ge1000,3,True
scene_summary,scene0003_01-scene0003_02,100,0.5600000023841858,0.4399999976158142,7,0.8571428656578064,0.0,0.0,1.0,,,,,,
gt_instance,scene0003_01-scene0003_02,,,,,,,,,2,3,5221,large_ge1000,7,True
gt_instance,scene0003_01-scene0003_02,,,,,,,,,3,3,5328,large_ge1000,9,True
gt_instance,scene0003_01-scene0003_02,,,,,,,,,4,2,3971,large_ge1000,8,True
gt_instance,scene0003_01-scene0003_02,,,,,,,,,5,11,11289,large_ge1000,26,True
gt_instance,scene0003_01-scene0003_02,,,,,,,,,6,17,809,medium_100_999,2,True
gt_instance,scene0003_01-scene0003_02,,,,,,,,,7,17,2200,large_ge1000,4,True
gt_instance,scene0003_01-scene0003_02,,,,,,,,,12,17,477,medium_100_999,0,False
scene_summary,scene0003_02-scene0003_00,100,0.6499999761581421,0.3499999940395355,6,1.0,0.0,0.0,1.0,,,,,,
gt_instance,scene0003_02-scene0003_00,,,,,,,,,2,3,4782,large_ge1000,15,True
gt_instance,scene0003_02-scene0003_00,,,,,,,,,3,3,5099,large_ge1000,11,True
gt_instance,scene0003_02-scene0003_00,,,,,,,,,4,2,3477,large_ge1000,8,True
gt_instance,scene0003_02-scene0003_00,,,,,,,,,5,11,8862,large_ge1000,24,True
gt_instance,scene0003_02-scene0003_00,,,,,,,,,6,17,792,medium_100_999,1,True
gt_instance,scene0003_02-scene0003_00,,,,,,,,,7,17,2135,large_ge1000,6,True
