file_name,gt_instance_id,gt_label,size_points,size_bin,segments_per_gt,within_instance_feature_variance,nearest_instance_cosine_margin,mean_segment_purity,mean_gt_instances_per_segment
scene0003_00-scene0003_03,2,3,4907,large_ge1000,239,0.08799810707569122,0.13657265901565552,1.0,1.0
scene0003_00-scene0003_03,3,3,5440,large_ge1000,219,0.045103635638952255,0.13657265901565552,0.9999999403953552,0.9999999403953552
scene0003_00-scene0003_03,4,2,3284,large_ge1000,147,0.017994171008467674,0.2542186379432678,1.0,1.0
scene0003_00-scene0003_03,5,11,8071,large_ge1000,337,0.09819397330284119,0.5795494318008423,1.0,1.0
scene0003_00-scene0003_03,6,17,819,medium_100_999,33,0.004951087757945061,0.46390748023986816,1.0,1.0
scene0003_00-scene0003_03,7,17,2228,large_ge1000,128,0.014828076586127281,0.5795494318008423,1.0,1.0
scene0003_01-scene0003_02,2,3,5221,large_ge1000,224,0.10412459820508957,0.1387864351272583,1.0,1.0
scene0003_01-scene0003_02,3,3,5328,large_ge1000,162,0.06109374389052391,0.1387864351272583,1.0,1.0
scene0003_01-scene0003_02,4,2,3971,large_ge1000,197,0.009699995629489422,0.2773968577384949,1.0,1.0
scene0003_01-scene0003_02,5,11,11289,large_ge1000,405,0.08104277402162552,0.6381925344467163,1.0,1.0
scene0003_01-scene0003_02,6,17,809,medium_100_999,32,0.020082365721464157,0.07296139001846313,1.0,1.0
scene0003_01-scene0003_02,7,17,2200,large_ge1000,108,0.028827287256717682,0.5220398306846619,1.0,1.0
scene0003_01-scene0003_02,12,17,477,medium_100_999,12,0.006065485533326864,0.07296139001846313,1.0,1.0
scene0003_02-scene0003_00,2,3,4782,large_ge1000,181,0.03706865757703781,0.11897945404052734,1.0,1.0
scene0003_02-scene0003_00,3,3,5099,large_ge1000,187,0.046622563153505325,0.11897945404052734,1.0,1.0
scene0003_02-scene0003_00,4,2,3477,large_ge1000,161,0.008563365787267685,0.3183993101119995,1.0,1.0
scene0003_02-scene0003_00,5,11,8862,large_ge1000,361,0.10221833735704422,0.5524921715259552,1.0,1.0
scene0003_02-scene0003_00,6,17,792,medium_100_999,32,0.006581318099051714,0.4621419310569763,1.0,1.0
scene0003_02-scene0003_00,7,17,2135,large_ge1000,117,0.023444080725312233,0.5524921715259552,1.0,1.0
scene0003_03-scene0003_01,2,3,5378,large_ge1000,287,0.08544299751520157,0.2150917649269104,1.0,1.0
scene0003_03-scene0003_01,3,3,5648,large_ge1000,193,0.02849097177386284,0.2150917649269104,1.0,1.0
scene0003_03-scene0003_01,4,2,3767,large_ge1000,183,0.01689079962670803,0.21533429622650146,1.0,1.0
scene0003_03-scene0003_01,5,11,10482,large_ge1000,381,0.07308240234851837,0.6215746998786926,1.0,1.0
scene0003_03-scene0003_01,6,17,846,medium_100_999,35,0.02253297157585621,0.0879586935043335,1.0,1.0
scene0003_03-scene0003_01,7,17,2301,large_ge1000,122,0.022951224818825722,0.47114986181259155,0.9999999403953552,0.9999999403953552
scene0003_03-scene0003_01,12,17,478,medium_100_999,12,0.005769349634647369,0.0879586935043335,1.0,1.0
scene0009_00-scene0009_02,3,5,1181,large_ge1000,51,0.02694028615951538,0.39744818210601807,1.0,1.0
scene0009_00-scene0009_02,6,12,2743,large_ge1000,151,0.18669646978378296,0.24079829454421997,1.0,1.0
scene0009_00-scene0009_02,11,0,4147,large_ge1000,252,0.08543512970209122,0.18032318353652954,1.0,1.0
scene0009_00-scene0009_02,13,15,2870,large_ge1000,223,0.04354000464081764,0.18032318353652954,1.0,1.0
scene0009_00-scene0009_02,17,17,439,medium_100_999,21,0.030838657170534134,0.02941650152206421,1.0,1.0
scene0009_00-scene0009_02,23,17,2878,large_ge1000,244,0.014350570738315582,0.2791212201118469,0.9999999403953552,0.9999999403953552
