variant,completed_epoch,seed,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,SpatialStageMean,validation_sequence_count,checkpoint_sha256,elapsed_seconds
R1,60,45,0.21142159402370453,0.37827688455581665,0.5882663726806641,0.2864089608192444,0.3194465935230255,0.31889721751213074,0.3191719055175781,154,ebdd9663a276618a8333d74b78ea7b0dbbaac0eaa61a260b9ea72de2a2f30c9d,298.8653336451389
R1,60,46,0.19306454062461853,0.3259689211845398,0.5770546793937683,0.2756181061267853,0.3056761622428894,0.3097415864467621,0.30770887434482574,154,ebdd9663a276618a8333d74b78ea7b0dbbaac0eaa61a260b9ea72de2a2f30c9d,292.6663671080023
R1,60,47,0.20296388864517212,0.3670845031738281,0.5691744685173035,0.28481584787368774,0.3152131140232086,0.3181990087032318,0.3167060613632202,154,ebdd9663a276618a8333d74b78ea7b0dbbaac0eaa61a260b9ea72de2a2f30c9d,294.7792236478999
A1,60,45,0.21815365552902222,0.4050356447696686,0.6030333638191223,0.2890715003013611,0.32718613743782043,0.31968915462493896,0.3234376460313797,154,b031d97d2de5e0841852ce5559593088f8570a2398e9cd7f240870a310bd48fd,345.24378683045506
A1,60,46,0.20866017043590546,0.39382702112197876,0.6068270206451416,0.2879907190799713,0.31827905774116516,0.3269882798194885,0.32263366878032684,154,b031d97d2de5e0841852ce5559593088f8570a2398e9cd7f240870a310bd48fd,341.4656643792987
A1,60,47,0.21138827502727509,0.39843469858169556,0.6054837107658386,0.2883746325969696,0.3241434693336487,0.3280485272407532,0.3260959982872009,154,b031d97d2de5e0841852ce5559593088f8570a2398e9cd7f240870a310bd48fd,337.3848048010841
R1,90,45,0.2193296253681183,0.40719151496887207,0.6112909317016602,0.30882006883621216,0.3477556109428406,0.3493872284889221,0.34857141971588135,154,cb41ff7c11c9df7008759ea62268552fc4207deb037e34f21dae66fea072882b,273.58249200508
R1,90,46,0.22962237894535065,0.4219166338443756,0.6167446970939636,0.3181588351726532,0.35395264625549316,0.35939931869506836,0.35667598247528076,154,cb41ff7c11c9df7008759ea62268552fc4207deb037e34f21dae66fea072882b,277.13302248809487
R1,90,47,0.22842440009117126,0.4059608280658722,0.5971708297729492,0.31108036637306213,0.35267728567123413,0.35090017318725586,0.351788729429245,154,cb41ff7c11c9df7008759ea62268552fc4207deb037e34f21dae66fea072882b,276.0740352529101
A1,90,45,0.24097009003162384,0.4541277289390564,0.6361005306243896,0.31648027896881104,0.36055055260658264,0.36361706256866455,0.3620838075876236,154,ce34fbd0cba6fae4fb49b4597f40bc0f8a16d6e7e70e6f4ce73e8c25ba536c44,343.47843849193305
A1,90,46,0.24353371560573578,0.46686315536499023,0.6380210518836975,0.32568085193634033,0.3585398495197296,0.3707343339920044,0.364637091755867,154,ce34fbd0cba6fae4fb49b4597f40bc0f8a16d6e7e70e6f4ce73e8c25ba536c44,326.0384647483006
A1,90,47,0.2435586303472519,0.44847965240478516,0.6407150030136108,0.32147687673568726,0.3608973026275635,0.37780797481536865,0.36935263872146606,154,ce34fbd0cba6fae4fb49b4597f40bc0f8a16d6e7e70e6f4ce73e8c25ba536c44,313.4072935003787
