method,horizon,t_mAP,t_mAP50,t_mAP25,t_REC,t_REC50,t_REC25,diagnostic_semantics
FullHistory,2,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,frozen primary system metric
Oracle,2,0.0381195992231369,0.057963524013757706,0.1709304302930832,0.1643470674753189,0.21310366690158844,0.3315872848033905,P6-A offline GT-ID readout; unmatched candidates retained; masks/classes unchanged
Persist4D,2,0.15863607823848724,0.2756635546684265,0.4781670868396759,0.2724342346191406,0.382106751203537,0.5550395846366882,frozen primary system metric
FullHistory,3,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,frozen primary system metric
Oracle,3,0.014237156137824059,0.020550750195980072,0.11944541335105896,0.09959964454174042,0.12646783888339996,0.23190665245056152,P6-A offline GT-ID readout; unmatched candidates retained; masks/classes unchanged
Persist4D,3,0.09889432787895203,0.19606494903564453,0.3549192547798157,0.19456875324249268,0.30214545130729675,0.44620054960250854,frozen primary system metric
FullHistory,4,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,frozen primary system metric
Oracle,4,0.005036705639213324,0.00701194116845727,0.09970774501562119,0.053949739784002304,0.06919810175895691,0.1678323596715927,P6-A offline GT-ID readout; unmatched candidates retained; masks/classes unchanged
Persist4D,4,0.05956951901316643,0.13553611934185028,0.22074103355407715,0.13616830110549927,0.2372516244649887,0.31662553548812866,frozen primary system metric
FullHistory,5,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,frozen primary system metric
Oracle,5,0.0026664268225431442,0.0034475510474294424,0.09481009840965271,0.036176957190036774,0.04611172899603844,0.14137348532676697,P6-A offline GT-ID readout; unmatched candidates retained; masks/classes unchanged
Persist4D,5,0.04449684917926788,0.10772459208965302,0.169673353433609,0.10665469616651535,0.19998401403427124,0.28682082891464233,frozen primary system metric
