method_id,method,order_id,horizon,sequence_count,tracker_initialization_horizon,task_metric_source,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),all,2,129,2,frozen_full_history_cache,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),all,3,129,2,frozen_full_history_cache,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,476,489,476,489,43,56,0,0,0,0.9734151329243353,0.9734151329243353,0.7678571428571429,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),all,4,129,2,frozen_full_history_cache,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,981,1003,1128,1160,142,174,309,101,1,0.9780658025922233,0.9724137931034482,0.8160919540229885,0.009900990099009901,0.003236245954692557
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),all,5,129,2,frozen_full_history_cache,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,1513,1548,1873,1928,290,345,654,218,2,0.977390180878553,0.9714730290456431,0.8405797101449275,0.009174311926605505,0.0030581039755351682
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,all,2,129,2,frozen_full_history_cache,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,all,3,129,2,frozen_full_history_cache,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,68,489,68,489,69,490,0,0,0,0.1390593047034765,0.1390593047034765,0.14081632653061224,,
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,all,4,129,2,frozen_full_history_cache,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,142,1003,240,1160,129,1049,309,101,20,0.1415752741774676,0.20689655172413793,0.12297426120114395,0.19801980198019803,0.06472491909385113
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,all,5,129,2,frozen_full_history_cache,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,223,1548,452,1928,204,1680,654,218,38,0.14405684754521964,0.23443983402489627,0.12142857142857143,0.1743119266055046,0.0581039755351682
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),all,2,129,2,adapted_checkpoint_cache,0.1918189823627472,0.30418089032173157,0.4912470877170563,0.3497549891471863,0.5316906571388245,0.6906276345252991,0.36342892050743103,0.5451523065567017,0.7454861998558044,0.4842585027217865,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),all,3,129,2,adapted_checkpoint_cache,0.11801228672266006,0.19620032608509064,0.3662972152233124,0.2514578402042389,0.40119650959968567,0.5654443502426147,0.3518715798854828,0.5571088194847107,0.7565210461616516,0.5015684366226196,477,481,477,481,52,56,0,0,0,0.9916839916839917,0.9916839916839917,0.9285714285714286,,
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),all,4,129,2,adapted_checkpoint_cache,0.06991622596979141,0.1355152130126953,0.23581428825855255,0.18878377974033356,0.33079081773757935,0.4608917236328125,0.34501463174819946,0.5487847924232483,0.7573826313018799,0.47564274072647095,993,1003,1136,1149,163,176,309,97,0,0.9900299102691924,0.9886858137510879,0.9261363636363636,0.0,0.0
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),all,5,129,2,adapted_checkpoint_cache,0.045370083302259445,0.08469527214765549,0.1646450161933899,0.13116542994976044,0.23104968667030334,0.3619328737258911,0.3508146405220032,0.5396026968955994,0.751736581325531,0.4782400131225586,1513,1534,1862,1898,322,358,654,219,1,0.9863102998696219,0.9810326659641728,0.8994413407821229,0.0045662100456621,0.0015290519877675841
