method,order_id,horizon,sequence_count,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
B2,canonical,2,43,12,162,12,162,26,176,0,0,0,1352,587,190,0,0.07407407407407407,0.07407407407407407,0.14772727272727273,,
B3,canonical,2,43,12,162,12,162,26,176,0,0,0,1352,587,190,0,0.07407407407407407,0.07407407407407407,0.14772727272727273,,
B4,canonical,2,43,13,162,13,162,27,176,0,0,0,1352,592,193,0,0.08024691358024691,0.08024691358024691,0.1534090909090909,,
B2,canonical,3,43,31,333,59,387,51,379,103,36,11,2037,712,276,0,0.09309309309309309,0.1524547803617571,0.1345646437994723,0.3055555555555556,0.10679611650485436
B3,canonical,3,43,34,333,54,387,49,382,103,36,13,2037,711,275,0,0.1021021021021021,0.13953488372093023,0.12827225130890052,0.3611111111111111,0.1262135922330097
B4,canonical,3,43,31,333,34,387,54,407,103,36,32,2037,653,233,0,0.09309309309309309,0.08785529715762273,0.13267813267813267,0.8888888888888888,0.3106796116504854
B2,canonical,4,43,50,504,123,633,78,588,229,82,21,2722,837,371,0,0.0992063492063492,0.1943127962085308,0.1326530612244898,0.25609756097560976,0.09170305676855896
B3,canonical,4,43,57,504,116,633,75,592,229,82,24,2722,836,372,0,0.1130952380952381,0.18325434439178515,0.1266891891891892,0.2926829268292683,0.10480349344978165
B4,canonical,4,43,49,504,54,633,78,657,229,82,70,2722,706,269,0,0.09722222222222222,0.08530805687203792,0.1187214611872146,0.8536585365853658,0.3056768558951965
B2,canonical,5,43,69,675,196,893,102,799,368,134,32,3407,962,473,0,0.10222222222222223,0.21948488241881298,0.1276595744680851,0.23880597014925373,0.08695652173913043
B3,canonical,5,43,77,675,189,893,97,801,368,134,34,3407,960,473,0,0.11407407407407408,0.2116461366181411,0.12109862671660425,0.2537313432835821,0.09239130434782608
B4,canonical,5,43,68,675,74,893,103,922,368,134,117,3407,736,291,0,0.10074074074074074,0.08286674132138858,0.11171366594360087,0.8731343283582089,0.3179347826086957
B2,reverse,2,43,16,165,16,165,27,176,0,0,0,1346,581,184,0,0.09696969696969697,0.09696969696969697,0.1534090909090909,,
B3,reverse,2,43,16,165,16,165,27,176,0,0,0,1346,581,184,0,0.09696969696969697,0.09696969696969697,0.1534090909090909,,
B4,reverse,2,43,12,165,12,165,25,178,0,0,0,1346,587,188,0,0.07272727272727272,0.07272727272727272,0.1404494382022472,,
B2,reverse,3,43,39,333,67,385,51,369,103,34,12,2025,706,265,0,0.11711711711711711,0.17402597402597403,0.13821138211382114,0.35294117647058826,0.11650485436893204
B3,reverse,3,43,43,333,69,385,54,370,103,34,11,2025,701,261,0,0.12912912912912913,0.17922077922077922,0.14594594594594595,0.3235294117647059,0.10679611650485436
B4,reverse,3,43,34,333,31,385,51,405,103,34,34,2025,653,226,0,0.1021021021021021,0.08051948051948052,0.1259259259259259,1.0,0.3300970873786408
B2,reverse,4,43,62,501,134,626,78,570,229,79,24,2704,831,354,0,0.12375249500998003,0.21405750798722045,0.1368421052631579,0.3037974683544304,0.10480349344978165
B3,reverse,4,43,71,501,131,626,79,574,229,79,23,2704,821,347,0,0.14171656686626746,0.20926517571884984,0.13763066202090593,0.2911392405063291,0.10043668122270742
B4,reverse,4,43,54,501,53,626,76,649,229,79,71,2704,706,263,0,0.10778443113772455,0.08466453674121406,0.11710323574730354,0.8987341772151899,0.31004366812227074
B2,reverse,5,43,85,669,218,887,101,770,368,132,37,3383,956,457,0,0.12705530642750373,0.24577226606538896,0.13116883116883116,0.2803030303030303,0.10054347826086957
B3,reverse,5,43,93,669,208,887,104,783,368,132,37,3383,940,445,0,0.13901345291479822,0.23449830890642615,0.13282247765006386,0.2803030303030303,0.10054347826086957
B4,reverse,5,43,75,669,78,887,101,910,368,132,116,3383,743,291,0,0.11210762331838565,0.08793686583990981,0.11098901098901098,0.8787878787878788,0.31521739130434784
B2,sha256_seed45,2,43,22,136,22,136,31,145,0,0,0,1325,576,216,0,0.16176470588235295,0.16176470588235295,0.21379310344827587,,
B3,sha256_seed45,2,43,22,136,22,136,31,145,0,0,0,1325,576,216,0,0.16176470588235295,0.16176470588235295,0.21379310344827587,,
B4,sha256_seed45,2,43,22,136,22,136,28,142,0,0,0,1325,583,220,0,0.16176470588235295,0.16176470588235295,0.19718309859154928,,
B2,sha256_seed45,3,43,37,297,52,334,50,332,66,19,7,1935,661,265,0,0.12457912457912458,0.15568862275449102,0.15060240963855423,0.3684210526315789,0.10606060606060606
B3,sha256_seed45,3,43,39,297,42,334,48,340,66,19,9,1935,653,260,0,0.13131313131313133,0.12574850299401197,0.1411764705882353,0.47368421052631576,0.13636363636363635
B4,sha256_seed45,3,43,31,297,34,334,54,354,66,19,14,1935,632,247,0,0.10437710437710437,0.10179640718562874,0.15254237288135594,0.7368421052631579,0.21212121212121213
B2,sha256_seed45,4,43,63,483,136,606,71,541,238,85,23,2715,869,427,0,0.13043478260869565,0.22442244224422442,0.13123844731977818,0.27058823529411763,0.09663865546218488
B3,sha256_seed45,4,43,68,483,126,606,67,547,238,85,31,2715,856,417,0,0.14078674948240166,0.2079207920792079,0.12248628884826325,0.36470588235294116,0.13025210084033614
B4,sha256_seed45,4,43,51,483,60,606,91,637,238,85,66,2715,703,298,0,0.10559006211180125,0.09900990099009901,0.14285714285714285,0.7764705882352941,0.2773109243697479
B2,sha256_seed45,5,43,103,685,225,893,114,782,357,129,24,3417,958,509,0,0.15036496350364964,0.251959686450168,0.14578005115089515,0.18604651162790697,0.06722689075630252
B3,sha256_seed45,5,43,108,685,217,893,105,781,357,129,32,3417,947,500,0,0.15766423357664233,0.24300111982082867,0.13444302176696543,0.24806201550387597,0.0896358543417367
B4,sha256_seed45,5,43,83,685,84,893,113,922,357,129,108,3417,735,326,0,0.12116788321167883,0.0940649496080627,0.12255965292841649,0.8372093023255814,0.3025210084033613
B2,all,2,129,50,463,50,463,84,497,0,0,0,4023,1744,590,0,0.1079913606911447,0.1079913606911447,0.16901408450704225,,
B3,all,2,129,50,463,50,463,84,497,0,0,0,4023,1744,590,0,0.1079913606911447,0.1079913606911447,0.16901408450704225,,
B4,all,2,129,47,463,47,463,80,496,0,0,0,4023,1762,601,0,0.10151187904967603,0.10151187904967603,0.16129032258064516,,
B2,all,3,129,107,963,178,1106,152,1080,272,89,30,5997,2079,806,0,0.1111111111111111,0.1609403254972875,0.14074074074074075,0.33707865168539325,0.11029411764705882
B3,all,3,129,116,963,165,1106,151,1092,272,89,33,5997,2065,796,0,0.12045690550363447,0.1491862567811935,0.1382783882783883,0.3707865168539326,0.1213235294117647
B4,all,3,129,96,963,99,1106,159,1166,272,89,80,5997,1938,706,0,0.09968847352024922,0.08951175406871609,0.13636363636363635,0.898876404494382,0.29411764705882354
B2,all,4,129,175,1488,393,1865,227,1699,696,246,68,8141,2537,1152,0,0.11760752688172044,0.21072386058981232,0.13360800470865214,0.2764227642276423,0.09770114942528736
B3,all,4,129,196,1488,373,1865,221,1713,696,246,78,8141,2513,1136,0,0.13172043010752688,0.2,0.1290134267367192,0.3170731707317073,0.11206896551724138
B4,all,4,129,154,1488,167,1865,245,1943,696,246,207,8141,2115,830,0,0.10349462365591398,0.08954423592493298,0.12609366958311888,0.8414634146341463,0.2974137931034483
B2,all,5,129,257,2029,639,2673,317,2351,1093,395,93,10207,2876,1439,0,0.12666338097585017,0.23905723905723905,0.1348362398979158,0.23544303797468355,0.08508691674290943
B3,all,5,129,278,2029,614,2673,306,2365,1093,395,103,10207,2847,1418,0,0.13701330704780681,0.22970445192667416,0.12938689217758986,0.2607594936708861,0.09423604757548033
B4,all,5,129,226,2029,236,2673,317,2754,1093,395,341,10207,2214,908,0,0.11138491867915229,0.08829031051253274,0.11510530137981119,0.8632911392405064,0.3119853613906679
