method,reference_scene_id,order_id,horizon,sequence_count,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,inference_unit
B2,10b17940-3938-2467-8a7a-958300ba83d3,canonical,2,10,1,32,1,32,0,31,0,0,0,203,95,18,0,0.03125,0.03125,0.0,,,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,canonical,2,12,5,40,5,40,13,48,0,0,0,369,148,43,0,0.125,0.125,0.2708333333333333,,,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,2,5,2,30,2,30,3,31,0,0,0,211,102,48,0,0.06666666666666667,0.06666666666666667,0.0967741935483871,,,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,2,5,1,19,1,19,0,18,0,0,0,153,62,24,0,0.05263157894736842,0.05263157894736842,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,2,5,2,9,2,9,9,16,0,0,0,158,76,24,0,0.2222222222222222,0.2222222222222222,0.5625,,,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,2,6,1,32,1,32,1,32,0,0,0,258,104,33,0,0.03125,0.03125,0.03125,,,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,canonical,2,10,1,32,1,32,0,31,0,0,0,203,95,18,0,0.03125,0.03125,0.0,,,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,canonical,2,12,5,40,5,40,13,48,0,0,0,369,148,43,0,0.125,0.125,0.2708333333333333,,,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,2,5,2,30,2,30,3,31,0,0,0,211,102,48,0,0.06666666666666667,0.06666666666666667,0.0967741935483871,,,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,2,5,1,19,1,19,0,18,0,0,0,153,62,24,0,0.05263157894736842,0.05263157894736842,0.0,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,2,5,2,9,2,9,9,16,0,0,0,158,76,24,0,0.2222222222222222,0.2222222222222222,0.5625,,,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,2,6,1,32,1,32,1,32,0,0,0,258,104,33,0,0.03125,0.03125,0.03125,,,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,canonical,2,10,1,32,1,32,0,31,0,0,0,203,96,18,0,0.03125,0.03125,0.0,,,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,canonical,2,12,5,40,5,40,12,47,0,0,0,369,148,43,0,0.125,0.125,0.2553191489361702,,,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,2,5,2,30,2,30,3,31,0,0,0,211,102,48,0,0.06666666666666667,0.06666666666666667,0.0967741935483871,,,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,2,5,1,19,1,19,0,18,0,0,0,153,63,25,0,0.05263157894736842,0.05263157894736842,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,2,5,2,9,2,9,10,17,0,0,0,158,78,25,0,0.2222222222222222,0.2222222222222222,0.5882352941176471,,,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,2,6,2,32,2,32,2,32,0,0,0,258,105,34,0,0.0625,0.0625,0.0625,,,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,canonical,3,10,4,66,7,71,2,66,12,5,1,305,116,28,0,0.06060606060606061,0.09859154929577464,0.030303030303030304,0.2,0.08333333333333333,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,canonical,3,12,11,79,24,100,20,96,56,18,5,555,186,72,0,0.13924050632911392,0.24,0.20833333333333334,0.2777777777777778,0.08928571428571429,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,3,5,5,64,5,69,6,70,5,1,1,317,120,62,0,0.078125,0.07246376811594203,0.08571428571428572,1.0,0.2,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,3,5,3,41,4,43,0,39,0,0,0,231,70,29,0,0.07317073170731707,0.09302325581395349,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,3,5,4,16,12,31,18,37,17,11,4,238,96,38,0,0.25,0.3870967741935484,0.4864864864864865,0.36363636363636365,0.23529411764705882,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,3,6,4,67,7,73,5,71,13,1,0,391,124,47,0,0.05970149253731343,0.0958904109589041,0.07042253521126761,0.0,0.0,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,canonical,3,10,3,66,6,71,1,66,12,5,1,305,117,28,0,0.045454545454545456,0.08450704225352113,0.015151515151515152,0.2,0.08333333333333333,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,canonical,3,12,12,79,24,100,20,96,56,18,6,555,186,72,0,0.1518987341772152,0.24,0.20833333333333334,0.3333333333333333,0.10714285714285714,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,3,5,7,64,5,69,6,70,5,1,1,317,120,62,0,0.109375,0.07246376811594203,0.08571428571428572,1.0,0.2,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,3,5,4,41,4,43,1,40,0,0,0,231,69,28,0,0.0975609756097561,0.09302325581395349,0.025,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,3,5,4,16,11,31,18,38,17,11,4,238,95,37,0,0.25,0.3548387096774194,0.47368421052631576,0.36363636363636365,0.23529411764705882,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,3,6,4,67,4,73,3,72,13,1,1,391,124,48,0,0.05970149253731343,0.0547945205479452,0.041666666666666664,1.0,0.07692307692307693,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,canonical,3,10,4,66,4,71,2,69,12,5,4,305,110,25,0,0.06060606060606061,0.056338028169014086,0.028985507246376812,0.8,0.3333333333333333,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,canonical,3,12,12,79,13,100,22,109,56,18,17,555,159,51,0,0.1518987341772152,0.13,0.2018348623853211,0.9444444444444444,0.30357142857142855,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,3,5,4,64,5,69,4,68,5,1,1,317,115,57,0,0.0625,0.07246376811594203,0.058823529411764705,1.0,0.2,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,3,5,4,41,4,43,0,39,0,0,0,231,68,27,0,0.0975609756097561,0.09302325581395349,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,3,5,4,16,5,31,23,49,17,11,9,238,84,31,0,0.25,0.16129032258064516,0.46938775510204084,0.8181818181818182,0.5294117647058824,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,3,6,3,67,3,73,3,73,13,1,1,391,117,42,0,0.04477611940298507,0.0410958904109589,0.0410958904109589,1.0,0.07692307692307693,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,canonical,4,10,7,100,15,112,5,102,28,11,1,407,137,39,0,0.07,0.13392857142857142,0.049019607843137254,0.09090909090909091,0.03571428571428571,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,canonical,4,12,17,118,47,166,27,146,119,37,10,741,224,103,0,0.1440677966101695,0.28313253012048195,0.18493150684931506,0.2702702702702703,0.08403361344537816,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,4,5,8,98,11,109,12,110,10,2,2,423,138,76,0,0.08163265306122448,0.10091743119266056,0.10909090909090909,1.0,0.2,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,4,5,5,63,7,69,0,62,1,1,0,309,78,35,0,0.07936507936507936,0.10144927536231885,0.0,0.0,0.0,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,4,5,6,23,27,58,26,57,41,26,7,318,116,56,0,0.2608695652173913,0.46551724137931033,0.45614035087719296,0.2692307692307692,0.17073170731707318,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,4,6,7,102,16,119,8,111,30,5,1,524,144,62,0,0.06862745098039216,0.13445378151260504,0.07207207207207207,0.2,0.03333333333333333,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,canonical,4,10,6,100,13,112,3,102,28,11,2,407,137,39,0,0.06,0.11607142857142858,0.029411764705882353,0.18181818181818182,0.07142857142857142,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,canonical,4,12,20,118,48,166,27,145,119,37,11,741,223,103,0,0.1694915254237288,0.2891566265060241,0.18620689655172415,0.2972972972972973,0.09243697478991597,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,4,5,13,98,10,109,12,111,10,2,2,423,139,77,0,0.1326530612244898,0.09174311926605505,0.10810810810810811,1.0,0.2,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,4,5,6,63,7,69,1,63,1,1,0,309,77,34,0,0.09523809523809523,0.10144927536231885,0.015873015873015872,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,4,5,6,23,26,58,26,58,41,26,7,318,116,56,0,0.2608695652173913,0.4482758620689655,0.4482758620689655,0.2692307692307692,0.17073170731707318,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,4,6,6,102,12,119,6,113,30,5,2,524,144,63,0,0.058823529411764705,0.10084033613445378,0.05309734513274336,0.4,0.06666666666666667,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,canonical,4,10,7,100,7,112,4,109,28,11,9,407,121,32,0,0.07,0.0625,0.03669724770642202,0.8181818181818182,0.32142857142857145,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,canonical,4,12,19,118,22,166,31,175,119,37,32,741,172,61,0,0.16101694915254236,0.13253012048192772,0.17714285714285713,0.8648648648648649,0.2689075630252101,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,4,5,6,98,7,109,8,110,10,2,2,423,125,63,0,0.061224489795918366,0.06422018348623854,0.07272727272727272,1.0,0.2,reference_scene_id
