method,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC
FullHistory,canonical,2,43,0.20722658932209015,0.3289628326892853,0.5393747687339783,0.349545419216156,0.5150136351585388,0.7182619571685791,0.36980727314949036,0.5628725290298462,0.7723667621612549,0.4997531473636627
B2,canonical,2,43,0.21863020956516266,0.3552480936050415,0.5654047131538391,0.35706475377082825,0.5309151411056519,0.7031175494194031,0.3606078028678894,0.554534375667572,0.7815447449684143,0.5034977197647095
B4,canonical,2,43,0.2149520218372345,0.34914353489875793,0.5593777894973755,0.3534661531448364,0.5257987380027771,0.6989193558692932,0.36135682463645935,0.555243730545044,0.78228759765625,0.5034977197647095
Oracle-ID,canonical,2,43,0.19513538479804993,0.30053064227104187,0.42976608872413635,0.38359740376472473,0.5419028997421265,0.641205370426178,0.35178783535957336,0.5487526059150696,0.7653560638427734,0.5034977197647095
FullHistory,canonical,3,43,0.11683275550603867,0.2039884626865387,0.35731008648872375,0.24738429486751556,0.4011823534965515,0.5718505382537842,0.36100059747695923,0.5500369668006897,0.7591304183006287,0.4869191348552704
B2,canonical,3,43,0.10669192671775818,0.1798558086156845,0.3535972833633423,0.2540697753429413,0.38026151061058044,0.5432702302932739,0.3633899986743927,0.5618271827697754,0.7864475250244141,0.5032063126564026
B4,canonical,3,43,0.12587131559848785,0.22425144910812378,0.4102586805820465,0.2581102252006531,0.39729318022727966,0.5655595660209656,0.3651871085166931,0.5621477961540222,0.7882253527641296,0.5032063126564026
Oracle-ID,canonical,3,43,0.12404142320156097,0.1985580325126648,0.30949804186820984,0.3147876560688019,0.45763328671455383,0.5452602505683899,0.3553765118122101,0.5410714745521545,0.7654363512992859,0.5032063126564026
FullHistory,canonical,4,43,0.07123789936304092,0.1347436159849167,0.25174641609191895,0.18176354467868805,0.30681535601615906,0.4578271806240082,0.3538123667240143,0.5496121048927307,0.7469495534896851,0.5013357400894165
B2,canonical,4,43,0.04635549709200859,0.08173055201768875,0.22729915380477905,0.1738080233335495,0.26447322964668274,0.4165569245815277,0.36469507217407227,0.5591841340065002,0.7835628986358643,0.5028339624404907
