master_sequence_id,reference_scene_id,sequence_id,scan_id_1,scan_id_2,scan_index_1,scan_index_2,point_count,split,exact_ordered_pair,validation_supervised,pair_substituted,reverse_pair_substituted,future_stage_leakage,overlap_official_t2,parity_scan_ids,parity_point_counts,parity_instance_gt,parity_semantic_labels,parity_temporal_stages,parity_change_labels,bridge_change_sha256
scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02,scene0069_00,scene0069_02,17,19,87611,validation,true,true,false,false,false,false,,,,,,,30352ce50033a1cbf4c72f658d4fb74d038c311b6e502e3e05df07c877dee047
scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06,scene0069_01,scene0069_06,18,23,90078,validation,true,true,false,false,false,false,,,,,,,8358d31f32cbd0706227c76f616c5ecf7f42d58655111a58a9414b61eda85e2d
scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04,scene0069_02,scene0069_04,19,21,71425,validation,true,true,false,false,false,true,true,true,true,true,true,true,94f0ef6c06c5139ec85fd38ae6e77e19ed79009987a0331d88d13b2b573e6b6c
scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01,scene0069_03,scene0069_01,20,18,79393,validation,true,true,false,false,false,false,,,,,,,920d779f8163ceb8af388756c6bf0fa404484b6a856bc09dec9322d3cc863a68
scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03,scene0069_04,scene0069_03,21,20,66735,validation,true,true,false,false,false,false,,,,,,,a1a88697db428f4e1fecaacbd103401c622e8053d9dd8b2e7049db6a792d5344
scene0069_05-scene0069_08-scene0069_07-scene0069_00-scene0069_02,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_05-scene0069_08,scene0069_05,scene0069_08,22,25,61644,validation,true,true,false,false,false,false,,,,,,,d0385087679fd1cbe4fd946bc18cd520e7b28c81c894c8d6f67ee5bf1f5bc40e
scene0069_06-scene0069_09-scene0069_05-scene0069_08-scene0069_07,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_06-scene0069_09,scene0069_06,scene0069_09,23,26,61012,validation,true,true,false,false,false,false,,,,,,,746c44ed9d3dca6642d225df682a5901b4959e27cd2a5ab4558bf14bb2502621
scene0069_07-scene0069_00-scene0069_02-scene0069_04-scene0069_03,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_07-scene0069_00,scene0069_07,scene0069_00,24,17,75737,validation,true,true,false,false,false,false,,,,,,,985dc19cec65304d8dd12ec5f1086e0b0c9702adb6d3cbb9d6b8bb7518b96c84
scene0069_08-scene0069_07-scene0069_00-scene0069_02-scene0069_04,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_08-scene0069_07,scene0069_08,scene0069_07,25,24,53730,validation,true,true,false,false,false,false,,,,,,,2e0db12e60952b3d3c912f5b1a3f00ac29e6afb8bf473f84fdfc2c215ab884a2
scene0069_09-scene0069_05-scene0069_08-scene0069_07-scene0069_00,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_09-scene0069_05,scene0069_09,scene0069_05,26,22,51057,validation,true,true,false,false,false,false,,,,,,,f256df751538722d65482a484ba06e3bbc5ed5517303b88f3c7628475913f7d8
