method,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistory,canonical,2,43,0.20722658932209015,0.3289628326892853,0.5393747687339783,0.349545419216156,0.5150136351585388,0.7182619571685791,0.36980727314949036,0.5628725290298462,0.7723667621612549,0.4997531473636627,160,162,160,162,22,24,0,0,0,0.9876543209876543,0.9876543209876543,0.9166666666666666,,
Persist4D,canonical,2,43,0.16435223817825317,0.29240682721138,0.5094905495643616,0.27608007192611694,0.40022900700569153,0.5789915919303894,0.28799593448638916,0.474575012922287,0.6795081496238708,0.4069293737411499,13,162,13,162,27,176,0,0,0,0.08024691358024691,0.08024691358024691,0.1534090909090909,,
FullHistory,canonical,3,43,0.11683275550603867,0.2039884626865387,0.35731008648872375,0.24738429486751556,0.4011823534965515,0.5718505382537842,0.36100059747695923,0.5500369668006897,0.7591304183006287,0.4869191348552704,326,333,376,383,51,58,105,33,0,0.978978978978979,0.9817232375979112,0.8793103448275862,0.0,0.0
Persist4D,canonical,3,43,0.09848087280988693,0.19187699258327484,0.35919368267059326,0.19422213733196259,0.3064534366130829,0.44774848222732544,0.29660558700561523,0.47536909580230713,0.6693919897079468,0.40951773524284363,31,333,34,387,54,407,103,36,32,0.09309309309309309,0.08785529715762273,0.13267813267813267,0.8888888888888888,0.3106796116504854
FullHistory,canonical,4,43,0.07123789936304092,0.1347436159849167,0.25174641609191895,0.18176354467868805,0.30681535601615906,0.4578271806240082,0.3538123667240143,0.5496121048927307,0.7469495534896851,0.5013357400894165,493,503,615,629,106,120,232,78,2,0.9801192842942346,0.9777424483306836,0.8833333333333333,0.02564102564102564,0.008620689655172414
Persist4D,canonical,4,43,0.06497673690319061,0.14125080406665802,0.2539322078227997,0.14778129756450653,0.25312289595603943,0.3523099720478058,0.30546680092811584,0.4817742109298706,0.6769537329673767,0.41323915123939514,49,504,54,633,78,657,229,82,70,0.09722222222222222,0.08530805687203792,0.1187214611872146,0.8536585365853658,0.3056768558951965
FullHistory,canonical,5,43,0.04427722096443176,0.08125066012144089,0.17315047979354858,0.13959765434265137,0.23920784890651703,0.3770503103733063,0.3493248224258423,0.5321940779685974,0.7450615167617798,0.4845113158226013,661,674,866,890,172,196,373,129,2,0.9807121661721068,0.9730337078651685,0.8775510204081632,0.015503875968992248,0.005361930294906166
Persist4D,canonical,5,43,0.046079277992248535,0.11070004105567932,0.193613663315773,0.11169949173927307,0.21159178018569946,0.315786749124527,0.29955142736434937,0.47185325622558594,0.6680379509925842,0.412931352853775,68,675,74,893,103,922,368,134,117,0.10074074074074074,0.08286674132138858,0.11171366594360087,0.8731343283582089,0.3179347826086957
FullHistory,reverse,2,43,0.21109874546527863,0.3429367244243622,0.5463166832923889,0.3575153052806854,0.5420021414756775,0.7300193309783936,0.3819788098335266,0.5625064373016357,0.7700338959693909,0.5036863684654236,163,165,163,165,16,18,0,0,0,0.9878787878787879,0.9878787878787879,0.8888888888888888,,
Persist4D,reverse,2,43,0.1655711978673935,0.2994626760482788,0.4964349567890167,0.271912544965744,0.39446887373924255,0.5612972974777222,0.297323077917099,0.49433600902557373,0.6728129982948303,0.40382257103919983,12,165,12,165,25,178,0,0,0,0.07272727272727272,0.07272727272727272,0.1404494382022472,,
