population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,T,policy,reducer,relative_t_mAP_retention,t2_t_mAP,t_mAP,reference_count,master_count
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,2,commit0,mean,1.0,0.48870930075645447,0.48870930075645447,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,3,commit0,mean,0.8756708825143095,0.48870930075645447,0.4279485046863556,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,4,commit0,mean,0.7831879926063352,0.48870930075645447,0.3827512562274933,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,5,commit0,mean,0.6943901046708137,0.48870930075645447,0.33935490250587463,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,2,lag1,latest,1.0,0.529872715473175,0.529872715473175,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,3,lag1,latest,0.8448242697323862,0.529872715473175,0.4476493299007416,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,4,lag1,latest,0.7580124792613188,0.529872715473175,0.4016501307487488,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,5,lag1,latest,0.6756148543008164,0.529872715473175,0.3579898774623871,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,2,lag1,max,1.0,0.529872715473175,0.529872715473175,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,3,lag1,max,0.8491685235723817,0.529872715473175,0.4499512314796448,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,4,lag1,max,0.754702951892334,0.529872715473175,0.399896502494812,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,5,lag1,max,0.688239057192471,0.529872715473175,0.36467909812927246,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,2,lag1,mean,1.0,0.529872715473175,0.529872715473175,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,3,lag1,mean,0.8705514270361198,0.529872715473175,0.4612814486026764,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,4,lag1,mean,0.7756524929894286,0.529872715473175,0.41099709272384644,8,47
development_common_h5_canonical,Q-TALA,b4c78fefb245741cffd240afb09983c6ddb172da4fb01012f55c07cc01cc100d,45,45,5,lag1,mean,0.7083184426537008,0.529872715473175,0.37531861662864685,8,47
