population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,reference_id,episode_id,T,absolute_stage_index,generation_mismatch_count,matched_query_count,null_win_count,read_valid_tokens,stored_current_tokens,stored_historical_tokens,stored_occupied_slots,stored_valid_tokens,valid_read_count,attention_scale,content_control,enabled,null_mass_mean,read_output_norm,max_source_age,mean_source_age
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-5d2466503c0c95a8,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-5d2466503c0c95a8,5,1,0,5,3,40,0,40,5,40,2,11.321606636047363,native,True,0.2883693277835846,0.1513146460056305,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-5d2466503c0c95a8,5,2,0,4,4,40,0,40,5,40,0,11.321606636047363,native,True,0.5305269360542297,0.0,2,1.5
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-5d2466503c0c95a8,5,3,0,4,4,40,0,40,5,40,0,11.321606636047363,native,True,0.5868248343467712,0.0,3,1.899999976158142
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-5d2466503c0c95a8,5,4,0,4,4,40,0,40,5,40,0,11.321606636047363,native,True,0.5475337505340576,0.0,4,2.5
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-90afc0668e081463,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-90afc0668e081463,5,1,0,4,4,32,0,32,4,32,0,11.321606636047363,native,True,0.6186014413833618,0.0,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-90afc0668e081463,5,2,0,4,4,32,0,32,4,32,0,11.321606636047363,native,True,0.649604856967926,0.0,2,1.3125
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-90afc0668e081463,5,3,0,4,4,32,0,32,4,32,0,11.321606636047363,native,True,0.5248032212257385,0.0,3,2.03125
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-90afc0668e081463,5,4,0,4,3,32,0,32,4,32,1,11.321606636047363,native,True,0.31292712688446045,0.0880809798836708,4,2.5
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-3b58c087b0be6d00,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-3b58c087b0be6d00,5,1,0,3,3,24,0,24,3,24,0,11.321606636047363,native,True,0.6872779130935669,0.0,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-3b58c087b0be6d00,5,2,0,4,3,31,0,31,4,31,1,11.321606636047363,native,True,0.38537052273750305,0.08826427906751633,2,1.3548386096954346
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-3b58c087b0be6d00,5,3,0,5,3,40,0,40,5,40,2,11.321606636047363,native,True,0.26655903458595276,0.1661870926618576,3,1.725000023841858
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-3b58c087b0be6d00,5,4,0,4,4,48,0,48,6,48,0,11.321606636047363,native,True,0.5296487808227539,0.0,4,2.1041667461395264
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-6904eeb9171e9165,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-6904eeb9171e9165,5,1,0,4,4,32,0,32,4,32,0,11.321606636047363,native,True,0.6495052576065063,0.0,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-6904eeb9171e9165,5,2,0,4,4,32,0,32,4,32,0,11.321606636047363,native,True,0.5265382528305054,0.0,2,1.65625
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-6904eeb9171e9165,5,3,0,4,3,32,0,32,4,32,1,11.321606636047363,native,True,0.367413729429245,0.08287519216537476,3,2.03125
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-6904eeb9171e9165,5,4,0,5,2,40,0,40,5,40,3,11.321606636047363,native,True,0.28440892696380615,0.22497321665287018,4,2.049999952316284
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-c27775f833b58343,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-c27775f833b58343,5,1,0,4,3,32,0,32,4,32,1,11.321606636047363,native,True,0.3430796265602112,0.0793057531118393,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-c27775f833b58343,5,2,0,5,4,40,0,40,5,40,1,11.321606636047363,native,True,0.28043124079704285,0.08646615594625473,2,1.399999976158142
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-c27775f833b58343,5,3,0,4,4,48,0,48,6,48,0,11.321606636047363,native,True,0.6042137145996094,0.0,3,1.7916667461395264
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,09582244-e2c2-2de1-956c-357092d949d1,tmv2-c27775f833b58343,5,4,0,4,4,48,0,48,6,48,0,11.321606636047363,native,True,0.6188847422599792,0.0,4,2.3333334922790527
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,0f2f2711-b736-2f71-8c6a-245a9d820a8c,tmv2-0339587ba95ddd5c,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
