population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,policy,reducer,relative_t_mAP_retention,t2_t_mAP,t_mAP,reference_count,master_count
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,commit0,mean,1.0,0.009098710492253304,0.009098710492253304,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,commit0,mean,1.7588934974849704,0.009098710492253304,0.01600366272032261,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,commit0,mean,1.4822671522240372,0.009098710492253304,0.013486719690263271,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,commit0,mean,2.079437516082945,0.009098710492253304,0.01892019994556904,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,lag1,latest,1.0,0.5375716686248779,0.5375716686248779,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,lag1,latest,0.800814916937171,0.5375716686248779,0.43049541115760803,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,lag1,latest,0.6408204009421933,0.5375716686248779,0.34448689222335815,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,lag1,latest,0.5122205940465837,0.5375716686248779,0.2753552794456482,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,lag1,max,1.0,0.5375716686248779,0.5375716686248779,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,lag1,max,0.8092651743727323,0.5375716686248779,0.4350380301475525,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,lag1,max,0.675315967834858,0.5375716686248779,0.36303073167800903,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,lag1,max,0.5523985813879123,0.5375716686248779,0.29695382714271545,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,2,lag1,mean,1.0,0.5375716686248779,0.5375716686248779,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,3,lag1,mean,0.8139379435934714,0.5375716686248779,0.43754997849464417,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,4,lag1,mean,0.6432285510651122,0.5375716686248779,0.34578144550323486,8,47
development_common_h5_canonical,FH-CONT,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,45,45,native,5,lag1,mean,0.5136121076541453,0.5375716686248779,0.27610331773757935,8,47
