population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,episode_count,policy,reducer,prefix_overall_mAP,local_current_AP,t_REC,t_mAP,t_mAP25,t_mAP50,reference_count,master_count,order_count
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,2,129,commit0,mean,0.2800540030002594,0.3489626944065094,0.3562430143356323,0.20726479589939117,0.5524979829788208,0.3398413360118866,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,3,129,commit0,mean,0.22183334827423096,0.35695144534111023,0.2665086090564728,0.12389595061540604,0.39893868565559387,0.21709956228733063,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,4,129,commit0,mean,0.1715751439332962,0.32106876373291016,0.18913820385932922,0.07015568017959595,0.27857983112335205,0.11884380131959915,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,5,129,commit0,mean,0.15267843008041382,0.3419281244277954,0.1370212733745575,0.047768495976924896,0.2039186805486679,0.0803714320063591,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,2,129,lag1,latest,0.3035704791545868,0.3590780198574066,0.3926636576652527,0.22656604647636414,0.5800016522407532,0.4038170874118805,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,3,129,lag1,latest,0.22936037182807922,0.3723365068435669,0.2893262207508087,0.12448906153440475,0.4072517454624176,0.23891188204288483,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,4,129,lag1,latest,0.1712622195482254,0.3335290849208832,0.21222510933876038,0.06586266309022903,0.28115108609199524,0.12380252033472061,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,5,129,lag1,latest,0.14270366728305817,0.35515210032463074,0.14080943167209625,0.04012567922472954,0.1925528645515442,0.07164978235960007,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,2,129,lag1,max,0.3035704791545868,0.3590780198574066,0.3926636576652527,0.22656604647636414,0.5800016522407532,0.4038170874118805,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,3,129,lag1,max,0.2328435480594635,0.3606070280075073,0.2893262207508087,0.12514281272888184,0.41358277201652527,0.2390233874320984,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,4,129,lag1,max,0.18106330931186676,0.32270434498786926,0.21222510933876038,0.07119883596897125,0.2918378710746765,0.1315460354089737,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,5,129,lag1,max,0.1470644772052765,0.3402727544307709,0.14080943167209625,0.039254263043403625,0.20051974058151245,0.07175981253385544,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,2,129,lag1,mean,0.3035704791545868,0.3590780198574066,0.3926636576652527,0.22656604647636414,0.5800016522407532,0.4038170874118805,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,3,129,lag1,mean,0.2379591464996338,0.36618584394454956,0.2893262207508087,0.13419601321220398,0.4155410826206207,0.2505229711532593,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,4,129,lag1,mean,0.1852302998304367,0.3211476802825928,0.21222510933876038,0.07777059078216553,0.29492083191871643,0.13938002288341522,6,43,129
protocol_b_43_masters_3_orders,Q-TALA,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,45,45,native,5,129,lag1,mean,0.15193375945091248,0.3477470576763153,0.14080943167209625,0.04647494852542877,0.20284327864646912,0.080024853348732,6,43,129
