method,reference_id,master_sequence_id,order_id,T,scope,repeat,state_snapshot_sha256,latency_ms,loaded_model_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes,point_count,superpoint_count,occupied_count,query_count,precision,source_commit
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,0,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1025.010464,559363072,1517428736,958065664,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,1,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1078.40199,559363072,1517392384,958029312,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,2,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1028.960226,559363072,1517410304,958047232,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,3,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1049.493471,559363072,1517489152,958126080,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,4,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1038.030659,559363072,1517479424,958116352,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,5,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1071.377286,559363072,1517420032,958056960,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,6,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1022.352718,559363072,1517393920,958030848,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,7,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1033.553043,559363072,1517428736,958065664,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,8,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1031.791745,559363072,1517454848,958091776,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,model_update,9,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1021.25615,559363072,1517506048,958142976,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,0,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1210.13003,559363072,1517420032,958056960,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
