method,reference_id,master_sequence_id,T,scope,measured_repeats,state_snapshot_sha256,median_latency_ms,mean_latency_ms,std_latency_ms,loaded_model_allocated_bytes,absolute_peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,2,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,1062.042655,1063.9870551,9.364202705387042,593637376,1516063744,922426368,5282725888,0,0,1798826,5182816
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,2,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,611.8989220000001,614.0241811,6.245092906023575,593637376,1515548672,921911296,5282725888,0,0,1798826,5182816
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,2,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,447.84880350000003,448.2485156,1.405579216543001,593637376,1515548672,921911296,5282725888,0,0,1798826,5182816
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,2,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,3.1542845,3.3988532,0.4081494242462679,593637376,593637376,0,5282725888,0,0,1798826,5182816
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,1906.5002245,1903.6159155999999,8.177413350441233,593637376,1915978752,1322341376,5282725888,0,0,2597916,7470877
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,823.1752415,824.3276107,10.124083340329113,593637376,1915034624,1321397248,5282725888,0,0,2597916,7470877
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,635.0303329999999,645.8552316,60.1894655406311,593637376,1915031552,1321394176,5282725888,0,0,2597916,7470877
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,3,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,7.1827195,7.2640236,0.23593814890610632,593637376,593637376,0,5282725888,0,0,2597916,7470877
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,4,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,2890.6071305,2895.8482207,23.722863041715325,593637376,2174530560,1580893184,5282725888,0,0,3166893,9057754
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,4,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,959.222409,965.024761,24.532396366933682,593637376,2174216704,1580579328,5282725888,0,0,3166893,9057754
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,4,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,674.3411605,675.9595684,7.9965341493388795,593637376,2174213120,1580575744,5282725888,0,0,3166893,9057754
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,4,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,6.263413999999999,5.9611012,0.4840519426371099,593637376,593637376,0,5282725888,0,0,3166893,9057754
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,5,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,4097.2329735,4104.7716688,41.775534611125344,593637376,2721811456,2128174080,5282725888,0,0,4225472,12120215
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,5,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1254.551552,1259.5025135,14.644640318813586,593637376,2719610368,2125972992,5282725888,0,0,4225472,12120215
FH-CONT,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,5,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,864.4008375000001,862.8885921,5.255373513350536,593637376,2719616512,2125979136,5282725888,0,0,4225472,12120215
