component,tensor,dtype,shape,numel,bytes,budget_bytes,status
task_state,embedding,torch.float32,"[1,100,128]",12800,51200,2097152,PASS
task_state,class_prob,torch.float32,"[1,100,19]",1900,7600,2097152,PASS
task_state,confidence,torch.float32,"[1,100]",100,400,2097152,PASS
task_state,occupied,torch.bool,"[1,100]",100,100,2097152,PASS
task_state,active,torch.bool,"[1,100]",100,100,2097152,PASS
task_state,age,torch.int64,"[1,100]",100,800,2097152,PASS
task_state,last_seen,torch.int64,"[1,100]",100,800,2097152,PASS
task_state,stage_watermark,torch.int64,"[1]",1,8,2097152,PASS
task_state,logical_ids,torch.int64,"[1,100]",100,800,2097152,PASS
task_state,generations,torch.int64,"[1,100]",100,800,2097152,PASS
task_state,next_logical_id,torch.int64,"[1]",1,8,2097152,PASS
visual_state,features,torch.float32,"[1,100,8,128]",102400,409600,2097152,PASS
visual_state,valid,torch.bool,"[1,100,8]",800,800,2097152,PASS
visual_state,quality,torch.float32,"[1,100,8]",800,3200,2097152,PASS
visual_state,source_stage,torch.int64,"[1,100,8]",800,6400,2097152,PASS
visual_state,source_key,torch.int64,"[1,100,8]",800,6400,2097152,PASS
visual_state,generations,torch.int64,"[1,100]",100,800,2097152,PASS
task_state,TOTAL,,,15502,62616,2097152,PASS
visual_state,TOTAL,,,105500,427200,2097152,PASS
combined_state,TOTAL,,,121002,489816,2097152,PASS
