variant,update,T,t_mAP,checkpoint_sha256,policy,reducer,status
FH-CONT,0,2,0.5369858145713806,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
FH-CONT,0,3,0.4445614218711853,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
FH-CONT,0,4,0.35128253698349,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
FH-CONT,0,5,0.29280754923820496,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
FH-CONT,375,2,0.5286858081817627,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,lag1,mean,PASS
FH-CONT,375,3,0.4320579171180725,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,lag1,mean,PASS
FH-CONT,375,4,0.3516983985900879,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,lag1,mean,PASS
FH-CONT,375,5,0.3009503483772278,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,lag1,mean,PASS
FH-CONT,750,2,0.5290291905403137,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,lag1,mean,PASS
FH-CONT,750,3,0.41797149181365967,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,lag1,mean,PASS
FH-CONT,750,4,0.339846670627594,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,lag1,mean,PASS
FH-CONT,750,5,0.29911917448043823,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,lag1,mean,PASS
FH-CONT,1125,2,0.5375716686248779,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,lag1,mean,PASS
FH-CONT,1125,3,0.43754997849464417,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,lag1,mean,PASS
FH-CONT,1125,4,0.34578144550323486,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,lag1,mean,PASS
FH-CONT,1125,5,0.27610331773757935,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,lag1,mean,PASS
FH-CONT,1500,2,0.5320965051651001,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,lag1,mean,PASS
FH-CONT,1500,3,0.4353124797344208,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,lag1,mean,PASS
FH-CONT,1500,4,0.35235118865966797,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,lag1,mean,PASS
FH-CONT,1500,5,0.30902066826820374,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,lag1,mean,PASS
