method,method_description,order_id,horizon,sequence_count,trajectory_candidate_count_total,trajectory_candidate_count_mean,empty_trajectory_mask_count,empty_trajectory_mask_rate,current_stage_candidate_count_total,current_stage_candidate_count_mean,score_count,score_min,score_q25,score_median,score_q75,score_max,score_mean,score_std,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC
F0,FullHistory official task prediction,canonical,2,43,4300,100.0,545,0.12674418604651164,2683,62.395348837209305,4300,0.0,0.0009781454864423722,0.00387408840470016,0.020686610601842403,0.9979400634765625,0.14644885680760253,0.315786037075321,0.20722658932209015,0.3289628326892853,0.5393747687339783,0.349545419216156,0.5150136351585388,0.7182619571685791,0.36980727314949036,0.5628725290298462,0.7723667621612549,0.4997531473636627
F0,FullHistory official task prediction,canonical,3,43,4300,100.0,370,0.08604651162790698,2440,56.74418604651163,4300,0.0,0.0014946369628887624,0.005814141361042857,0.053711967542767525,0.9979409575462341,0.17184921841012235,0.33351667186103123,0.11683275550603867,0.2039884626865387,0.35731008648872375,0.24738429486751556,0.4011823534965515,0.5718505382537842,0.36100059747695923,0.5500369668006897,0.7591304183006287,0.4869191348552704
F0,FullHistory official task prediction,canonical,4,43,4300,100.0,301,0.07,2202,51.2093023255814,4300,0.0,0.0018117073050234467,0.007510197581723332,0.10332194529473782,0.9976837038993835,0.19194832464468903,0.34589389043055985,0.07123789936304092,0.1347436159849167,0.25174641609191895,0.18176354467868805,0.30681535601615906,0.4578271806240082,0.3538123667240143,0.5496121048927307,0.7469495534896851,0.5013357400894165
F0,FullHistory official task prediction,canonical,5,43,4300,100.0,238,0.05534883720930232,2117,49.23255813953488,4300,0.0,0.002073576732072979,0.00917662400752306,0.18758898600935936,0.9976024031639099,0.20787031262464953,0.35447816291260276,0.04427722096443176,0.08125066012144089,0.17315047979354858,0.13959765434265137,0.23920784890651703,0.3770503103733063,0.3493248224258423,0.5321940779685974,0.7450615167617798,0.4845113158226013
L0,Local official candidates without persistent identity,canonical,2,43,8600,200.0,2445,0.28430232558139534,2685,62.44186046511628,8600,0.0,0.0005695445870514959,0.002519661677069962,0.012141612358391285,0.9993172883987427,0.12433088404202271,0.29799414808427926,0.06545289605855942,0.09518136829137802,0.20595437288284302,0.19880644977092743,0.2814572751522064,0.38075974583625793,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
L0,Local official candidates without persistent identity,canonical,3,43,12900,300.0,4060,0.3147286821705426,2685,62.44186046511628,12900,0.0,0.0006722531252307817,0.002892329473979771,0.014023875584825873,0.9993172883987427,0.13157369297495766,0.304304627965611,0.02322402223944664,0.031179796904325485,0.12710383534431458,0.12144599109888077,0.16085034608840942,0.24847732484340668,0.3722105622291565,0.5636523365974426,0.7781248688697815,0.5032063126564026
L0,Local official candidates without persistent identity,canonical,4,43,17200,400.0,5675,0.32994186046511625,2685,62.44186046511628,17200,0.0,0.0007267249748110771,0.0031103237997740507,0.015219874680042267,0.9993172883987427,0.13519509744142513,0.3073472954895916,0.008237641304731369,0.011355928145349026,0.1036757305264473,0.07426755130290985,0.09700829535722733,0.18030133843421936,0.37252601981163025,0.5639541745185852,0.7788800597190857,0.5028339624404907
L0,Local official candidates without persistent identity,canonical,5,43,21500,500.0,7290,0.33906976744186046,2685,62.44186046511628,21500,0.0,0.0007802121690474451,0.0032735910499468446,0.01594008505344391,0.9993172883987427,0.13736794012130563,0.30913816025097146,0.0038899423088878393,0.005145534873008728,0.09710337966680527,0.054450664669275284,0.07070091366767883,0.1539151668548584,0.3734106719493866,0.5651854276657104,0.7796314358711243,0.5031508207321167
L1,Legacy raw-observation conversion without persistent identity,canonical,2,43,919,21.372093023255815,0,0.0,473,11.0,919,0.5047982335090637,0.9462099671363831,0.9923882484436035,0.9983659982681274,0.9999215602874756,0.9359483395878456,0.11649625526092663,0.033953916281461716,0.05554236099123955,0.16781100630760193,0.15592911839485168,0.20860591530799866,0.3262130320072174,0.2950745224952698,0.4826107919216156,0.6810441613197327,0.40637391805648804
L1,Legacy raw-observation conversion without persistent identity,canonical,3,43,1392,32.372093023255815,0,0.0,473,11.0,1392,0.5047982335090637,0.9431344866752625,0.9922341108322144,0.9982852935791016,0.9999215602874756,0.9339092028723366,0.11950385820135696,0.011590532958507538,0.017508847638964653,0.1133079007267952,0.08854056894779205,0.11483976989984512,0.21727462112903595,0.294201523065567,0.481561541557312,0.6786677241325378,0.40637391805648804
